open,high,low,close,volume,timestamp,rsi,ema_9,ema_21,ema_50,ema_200,macd_line,macd_signal,macd_hist,atr,adx,bb_upper,bb_lower,bb_mid,bb_width
177.78,178.0,176.35,177.16,16350.4,1742446800000,36.97284806470247,178.49247316633813,177.880242833763,175.33151366364032,175.39257781797622,1.1959390638647847,1.8885761087151367,-0.692637044850352,2.856428571428576,22.256564940025626,183.42230200992992,175.44369799007012,179.43300000000002,7.978604019859802
177.16,178.25,176.57,177.2,19368.0,1742450400000,38.86541943270968,178.2339785330705,177.81840257614817,175.40478763761521,175.41056211829488,0.9995312226778879,1.7107671315076871,-0.7112359088297993,2.778571428571435,20.715916371464505,183.10417457636694,175.98782542363304,179.546,7.116349152733903
177.21,177.55,176.1,176.52,25338.2,1742454000000,43.33781965006729,177.89118282645643,177.70036597831654,175.44852145574797,175.42160130119743,0.78001475197388,1.5246166556009257,-0.7446019036270457,2.6442857142857212,19.442369119625315,183.1087315383039,175.5762684616961,179.3425,7.532463076607826
176.52,178.75,176.08,178.43,22228.0,1742457600000,40.41047416843598,177.99894626116514,177.7666963439241,175.56544218297356,175.4515356166084,0.7515045284652899,1.3699942301737986,-0.6184897017085087,2.385000000000005,18.489673217184734,183.0845010247514,175.68849897524862,179.3865,7.396002049502783
178.42,178.5,176.89,177.17,20419.0,1742461200000,38.659444820582166,177.83315700893212,177.71245122174918,175.62836601893537,175.46863476470185,0.6200904840814871,1.2200134809553362,-0.5999229968738491,2.2421428571428623,17.605027022061336,183.12090420439142,175.46709579560854,179.29399999999998,7.653808408782879
177.17,177.35,172.65,173.93,88978.0,1742464800000,32.241671372106126,177.0525256071457,177.36859201977197,175.5617634299575,175.4533249660481,0.2516026660134685,1.0263313179669629,-0.7747286519534944,2.3485714285714323,17.93326497066525,183.38238926080373,174.51161073919627,178.947,8.870778521607463
173.95,175.6,173.49,175.33,52280.3,1742468400000,32.279909706546206,176.70802048571656,177.18326547251996,175.5526746679984,175.45209785195806,0.0717150288831192,0.8354080601501942,-0.763693031267075,2.3414285714285734,18.238057351511742,183.15137380148428,174.1086261985157,178.63,9.042747602968575
175.33,177.14,174.48,176.53,85206.2,1742472000000,36.54151242728709,176.67241638857325,177.12387770229088,175.59100115160632,175.46282324646594,0.025686651884882394,0.6734637784971319,-0.6477771266122495,2.3957142857142872,17.639324187377092,182.89484026508,173.92915973491995,178.41199999999998,8.965680530160057
176.53,177.12,174.97,176.03,40496.5,1742475600000,32.831810854379356,176.54393311085863,177.0244342748099,175.60821679271982,175.46846679625236,-0.0505542321095902,0.5286601763757874,-0.5792144084853776,2.3028571428571434,17.08335767782349,182.8955073629443,173.6814926370557,178.2885,9.214014725888603
176.02,179.28,175.95,177.92,65691.9,1742479200000,48.25090470446316,176.81914648868693,177.10584934073626,175.69887495771118,175.49286016146377,0.041058228944422126,0.43113978688951443,-0.3900815579450923,2.192857142857144,16.266587731044236,182.53569273149589,173.7193072685041,178.1275,8.816385462991775
177.92,178.02,173.93,174.06,90606.2,1742482800000,41.797283176593524,176.26731719094957,176.82895394612385,175.63460535152643,175.47860284642434,-0.1955537543203434,0.3058010786475429,-0.5013548329678863,2.3221428571428584,15.640358275975498,182.41653676893563,173.1924632310644,177.80450000000002,9.22407353787122
174.05,175.11,171.42,172.19,71898.6,1742486400000,33.24781939456125,175.4518537527597,176.40723086011258,175.49952278872146,175.44588043004202,-0.5278787696494476,0.1390651089881448,-0.6669438786375924,2.442142857142861,16.002096804241635,182.50203231274682,172.30396768725316,177.403,10.198064625493657
172.2,174.76,171.96,174.02,57574.7,1742490000000,40.85545722713862,175.16548300220776,176.1902098728296,175.44150228720298,175.4316925650665,-0.6362487529454768,-0.015997663398579498,-0.6202510895468973,2.5407142857142873,16.33799686620305,181.93033851483295,172.11666148516707,177.0235,9.813677029665882
174.02,175.29,173.73,173.78,16478.5,1742493600000,40.2629016553067,174.8883864017662,175.97109988439055,175.37634533476364,175.4152578131753,-0.7330486116196084,-0.1594078530427853,-0.5736407585768232,2.5821428571428595,16.358665907445513,181.23550866523905,172.02749133476092,176.6315,9.208017330478128
173.77,175.01,173.32,174.72,14708.6,1742497200000,44.15148609779481,174.85470912141295,175.85736353126413,175.3506063020278,175.4083398249845,-0.7255493714170882,-0.27263615671764585,-0.45291321469944235,2.5850000000000017,16.54085854494144,180.02644305166206,172.466556948338,176.24650000000003,7.559886103324061
174.73,175.73,174.35,175.54,13418.8,1742500800000,46.164510166358596,174.99176729713037,175.8285123011492,175.35803350586986,175.4096498764772,-0.645992424005783,-0.34730741017527333,-0.2986850138305097,2.5635714285714295,16.292019262213703,179.73604269283945,172.46095730716056,176.0985,7.275085385678892
175.53,176.78,175.2,176.32,37946.0,1742504400000,49.540018399263985,175.25741383770432,175.87319300104474,175.39575768211026,175.41870808666152,-0.5140775230538281,-0.3806614327509843,-0.13341609030284385,2.5728571428571434,15.481546846169968,179.6570632687557,172.45193673124433,176.05450000000002,7.205126537511376
176.31,177.49,175.81,177.05,20820.2,1742508000000,46.64396887159534,175.61593107016347,175.9801754554952,175.46062992987063,175.43493984699327,-0.3466333411336393,-0.37385581442751536,0.02722247329387606,2.5021428571428594,14.394686463472908,179.38596335807088,172.55603664192913,175.971,6.829926716141756
177.06,178.77,176.57,178.71,23960.6,1742511600000,53.67366412213747,176.23474485613076,176.22834132317746,175.58805620713062,175.46752751020728,-0.07907298958775755,-0.3148992494595638,0.23582625987180628,2.5442857142857167,14.011832978158646,179.565293504855,172.473706495145,176.0195,7.091587009709997
178.71,181.87,178.54,181.84,55007.7,1742515200000,68.96882494004797,177.3557958849046,176.7384921119795,175.83323047351766,175.53093519667289,0.3811417928437777,-0.17569104099889554,0.5568328338426732,2.4464285714285756,14.868411901771694,180.56748561564066,171.8775143843594,176.22250000000003,8.689971231281277
181.85,183.12,179.73,180.37,61171.5,1742518800000,62.045889101338425,177.95863670792372,177.06862919270864,176.01114300396793,175.5790850952135,0.6201004765967468,-0.01653273747976705,0.6366332140765139,2.537857142857149,16.059875886475098,181.09541183082308,171.67058816917688,176.38299999999998,9.424823661646201
180.37,181.25,179.28,180.99,33155.4,1742522400000,60.963618485742394,178.56490936633898,177.42511744791693,176.20639229792997,175.63292504451485,0.8497108359291587,0.15671597720201813,0.6929948587271406,2.488571428571435,16.900958299080784,181.70897790448677,171.4360220955132,176.5725,10.272955808973563
181.0,181.27,179.01,179.95,22611.8,1742526000000,59.386973180076595,178.8419274930712,177.65465222537904,176.3532004431092,175.67588101422118,0.9369587147687355,0.31276452471536165,0.6241941900533738,2.4964285714285785,17.525425304619848,182.0975562209291,171.3904437790709,176.744,10.707112441858214
179.94,181.19,179.71,179.9,31470.5,1742529600000,55.19957983193282,179.05354199445696,177.85877475034457,176.4922906218108,175.71791204890553,0.9906491188194764,0.44834144353618466,0.5423076752832917,2.36428571428572,18.10528752404898,182.30715294657202,171.32784705342803,176.81750000000002,10.979305893143987
179.89,180.08,178.22,179.28,30547.9,1742533200000,66.5189873417721,179.09883359556557,177.98797704576776,176.6016125582104,175.75335571011047,0.9719661120920478,0.5530663772473573,0.41889973484469045,2.2050000000000063,17.721649311672643,182.52120309517787,171.32479690482214,176.923,11.19640619035573
179.29,179.3,178.03,178.51,22523.5,1742536800000,71.4965986394557,178.98106687645245,178.03543367797067,176.67645128141785,175.78078500652728,0.8848273904441726,0.6194185798867204,0.26540881055745214,2.0321428571428624,17.25337905007244,182.60758371618766,171.6964162838123,177.152,10.91116743237535
178.5,179.26,177.51,179.08,27713.9,1742540400000,68.82440476190469,179.00085350116197,178.1303942527006,176.77070809391128,175.8136130164126,0.8519428946750907,0.6659234428443945,0.18601945183069613,1.9571428571428637,16.50576960668493,182.78918362192414,171.88981637807584,177.3395,10.899367243848303
179.08,179.31,176.91,178.41,28115.3,1742544000000,66.69069935111743,178.88268280092956,178.15581295700053,176.8349940510128,175.8394477127667,0.7630226442044261,0.6853432831164009,0.0776793610880252,2.017142857142864,15.48279312691999,182.88924453408274,171.97775546591728,177.4335,10.911489068165451
178.41,178.68,176.83,177.18,20450.7,1742547600000,58.68644067796609,178.54214624074365,178.06710268818227,176.84852369607114,175.85278654149542,0.58654070843167,0.6655827681794548,-0.07904205974778478,2.028571428571435,14.484492798540083,182.90856946863528,172.07343053136475,177.491,10.835138937270528
177.18,178.3,176.03,177.08,27310.7,1742551200000,55.72916666666672,178.24971699259493,177.9773660801657,176.857601198186,175.8649976206845,0.43360995295807925,0.6191882051351798,-0.18557825217710056,2.0921428571428646,13.825476776974398,182.86559011013142,172.0324098898686,177.449,10.833180220262818
177.07,177.18,176.2,177.07,17304.8,1742554800000,52.95974743488554,178.01377359407593,177.89487825469607,176.865930562963,175.87698769411054,0.30805326473276295,0.5569612170546965,-0.24890795232193352,2.0492857142857224,13.213533328377688,182.78181192058383,172.41718807941612,177.59949999999998,10.364623841167713
177.07,178.79,175.6,175.85,37976.6,1742558400000,45.44072948328263,177.58101887526072,177.7089802315419,176.82609014872918,175.8767191598408,0.10885012421744023,0.46733899848724525,-0.358488874269805,2.1571428571428646,12.534572620018686,182.38675375405165,173.17824624594834,177.7825,9.20850750810331
175.85,176.58,173.89,175.64,46083.1,1742562000000,36.891545687446616,177.19281510020858,177.52089111958352,176.7795768095633,175.874363745315,-0.06521330637684741,0.3608285375144268,-0.4260418438912742,2.192142857142865,12.321590265853855,182.24044089280022,173.48655910719975,177.8635,8.75388178560047
175.65,175.99,174.0,175.15,26145.7,1742565600000,13.120176405733403,176.78425208016688,177.30535556325776,176.71567183663927,175.86715614585916,-0.2399329365418339,0.24067624270317464,-0.48060917924500857,2.096428571428579,12.123820936986512,182.07656956054845,173.78743043945158,177.93200000000002,8.289139121096866
175.15,175.75,174.25,175.0,21796.0,1742569200000,15.354838709677637,176.4274016641335,177.09577778477978,176.64839058814363,175.85852772649739,-0.38605306916065274,0.11533038033040917,-0.501383449491062,1.9614285714285782,11.94017798875255,182.04654373802887,173.84545626197112,177.946,8.20108747605775
174.99,177.44,174.2,177.34,32221.7,1742572800000,30.728616684266186,176.6099213313068,177.11797980434525,176.6755125258635,175.87326874414418,-0.30946852270352565,0.03037059972362221,-0.33983912242714787,2.0521428571428646,11.441455633988223,181.99061302919077,174.08138697080923,178.036,7.909226058381535
177.33,178.86,176.71,178.44,35690.9,1742576400000,42.077649527807,176.97593706504546,177.23816345849568,176.74470811308456,175.8988083586303,-0.15819039060511386,-0.007341598342125007,-0.15084879226298886,2.0442857142857207,11.721135367219054,182.01576927825747,174.26823072174253,178.142,7.7475385565149395
178.44,180.03,177.55,178.91,33154.3,1742580000000,45.02512562814068,177.36274965203637,177.39014859863244,176.8296215204146,175.92877046451457,-0.0003720205496051676,-0.005947682783621039,0.005575662234015871,2.1157142857142923,12.515866923294077,182.08763546161828,174.38236453838175,178.235,7.705270923236526
178.91,179.35,177.54,178.99,19564.3,1742583600000,48.4590860786398,177.6881997216291,177.5355896351204,176.91434224510425,175.95923045989252,0.12966085650867853,0.021174025074838877,0.10848683143383966,2.112142857142863,13.246690312201482,182.11092698016398,174.387073019836,178.249,7.723853960327972
