id_fvg,type,top,bottom,created_at,filled
4h_1627,BULLISH,305.45,305.04,1757404800000.0,False
4h_1629,BEARISH,305.45,299.51,1757433600000.0,False
4h_1638,BULLISH,303.76,300.92,1757563200000.0,False
4h_1643,BULLISH,308.27,306.28,1757635200000.0,False
4h_1648,BULLISH,317.39,315.62,1757707200000.0,False
4h_1664,BEARISH,303.35,300.38,1757937600000.0,False
4h_1668,BEARISH,297.57,297.55,1757995200000.0,False
4h_1679,BULLISH,304.37,299.17,1758153600000.0,False
4h_1686,BEARISH,307.94,306.92,1758254400000.0,False
4h_1689,BEARISH,303.54,302.46,1758297600000.0,False
4h_1704,BEARISH,290.0,284.44,1758513600000.0,False
4h_1705,BEARISH,282.4,268.94,1758528000000.0,False
4h_1713,BULLISH,274.13,272.71,1758643200000.0,False
4h_1722,BEARISH,276.66,271.98,1758772800000.0,False
4h_1732,BULLISH,268.48,265.41,1758916800000.0,False
4h_1745,BULLISH,273.44,268.85,1759104000000.0,False
4h_1752,BEARISH,276.51,276.17,1759204800000.0,False
4h_1760,BULLISH,283.25,273.22,1759320000000.0,False
4h_1768,BULLISH,287.21,285.72,1759435200000.0,False
4h_1771,BEARISH,287.12,286.25,1759478400000.0,False
4h_1773,BULLISH,286.74,286.25,1759507200000.0,False
4h_1776,BEARISH,289.72,287.52,1759550400000.0,False
4h_1778,BEARISH,285.21,284.57,1759579200000.0,False
4h_1782,BULLISH,286.74,283.91,1759636800000.0,False
4h_1786,BEARISH,286.96,286.34,1759694400000.0,False
4h_1791,BULLISH,295.74,291.78,1759766400000.0,False
4h_1795,BEARISH,294.87,292.79,1759824000000.0,False
4h_1797,BEARISH,288.27,281.53,1759852800000.0,False
4h_1806,BEARISH,283.71,283.68,1759982400000.0,False
4h_1808,BEARISH,278.9,276.28,1760011200000.0,False
4h_1809,BEARISH,273.25,273.23,1760025600000.0,False
4h_1815,BEARISH,273.44,267.32,1760112000000.0,False
4h_1816,BEARISH,262.79,259.92,1760126400000.0,False
4h_1817,BEARISH,255.99,234.44,1760140800000.0,False
4h_1827,BULLISH,244.66,234.64,1760284800000.0,False
4h_1828,BULLISH,248.83,244.8,1760299200000.0,False
4h_1834,BULLISH,259.61,253.5,1760385600000.0,False
4h_1836,BEARISH,259.61,255.34,1760414400000.0,False
4h_1837,BEARISH,253.4,245.57,1760428800000.0,False
4h_1839,BULLISH,247.98,245.57,1760457600000.0,False
4h_1845,BEARISH,252.61,244.53,1760544000000.0,False
4h_1852,BEARISH,235.65,233.8,1760644800000.0,False
4h_1853,BEARISH,230.9,226.73,1760659200000.0,False
4h_1855,BEARISH,222.09,212.01,1760688000000.0,False
4h_1864,BULLISH,213.99,210.47,1760817600000.0,False
4h_1868,BULLISH,220.25,217.44,1760875200000.0,False
4h_1869,BULLISH,222.79,220.27,1760889600000.0,False
4h_1872,BULLISH,226.85,225.48,1760932800000.0,False
4h_1873,BULLISH,230.97,226.85,1760947200000.0,False
4h_1875,BEARISH,230.97,230.47,1760976000000.0,False
4h_1878,BEARISH,227.48,223.26,1761019200000.0,False
4h_1879,BEARISH,223.05,222.81,1761033600000.0,False
4h_1881,BULLISH,229.67,222.81,1761062400000.0,False
4h_1883,BEARISH,229.67,219.94,1761091200000.0,False
4h_1891,BULLISH,220.16,219.22,1761206400000.0,False
4h_1897,BULLISH,228.38,225.84,1761292800000.0,False
4h_1910,BULLISH,234.23,227.63,1761480000000.0,False
4h_1913,BULLISH,240.38,237.86,1761523200000.0,False
4h_1914,BULLISH,242.57,241.97,1761537600000.0,False
4h_1916,BEARISH,242.57,239.29,1761566400000.0,False
4h_1935,BEARISH,223.34,214.47,1761840000000.0,False
4h_1937,BULLISH,214.5,214.47,1761868800000.0,False
4h_1938,BULLISH,216.35,214.53,1761883200000.0,False
4h_1942,BULLISH,228.26,220.78,1761940800000.0,False
4h_1947,BEARISH,224.76,223.72,1762012800000.0,False
4h_1956,BEARISH,223.89,218.97,1762142400000.0,False
4h_1957,BEARISH,216.75,214.66,1762156800000.0,False
4h_1959,BEARISH,208.93,206.76,1762185600000.0,False
4h_1966,BEARISH,194.45,190.43,1762286400000.0,False
4h_1968,BULLISH,196.56,190.43,1762315200000.0,False
4h_1971,BULLISH,199.08,198.38,1762358400000.0,False
4h_1972,BULLISH,201.69,199.69,1762372800000.0,False
4h_1984,BULLISH,207.63,199.51,1762545600000.0,False
4h_1994,BULLISH,202.12,200.76,1762689600000.0,False
4h_1995,BULLISH,207.5,202.63,1762704000000.0,False
4h_1996,BULLISH,211.62,209.66,1762718400000.0,False
4h_1998,BULLISH,218.78,214.35,1762747200000.0,False
4h_2003,BULLISH,224.95,222.91,1762819200000.0,False
4h_2005,BEARISH,224.95,219.7,1762848000000.0,False
4h_2007,BEARISH,216.42,215.91,1762876800000.0,False
4h_2008,BEARISH,213.77,212.39,1762891200000.0,False
4h_2013,BEARISH,207.9,207.5,1762963200000.0,False
4h_2014,BEARISH,206.97,206.7,1762977600000.0,False
4h_2016,BULLISH,208.06,206.7,1763006400000.0,False
4h_2017,BULLISH,211.88,210.54,1763020800000.0,False
4h_2019,BEARISH,211.88,208.2,1763049600000.0,False
4h_2020,BEARISH,207.35,201.51,1763064000000.0,False
4h_2023,BEARISH,192.59,185.85,1763107200000.0,False
4h_2024,BEARISH,185.41,180.56,1763121600000.0,False
4h_2036,BEARISH,178.59,177.52,1763294400000.0,False
4h_2037,BEARISH,176.13,174.72,1763308800000.0,False
4h_2040,BULLISH,175.99,174.03,1763352000000.0,False
4h_2041,BULLISH,177.46,176.94,1763366400000.0,False
4h_2043,BEARISH,177.46,176.34,1763395200000.0,False
4h_2044,BEARISH,172.7,169.1,1763409600000.0,False
4h_2049,BULLISH,175.02,172.69,1763481600000.0,False
4h_2052,BEARISH,176.47,175.95,1763524800000.0,False
4h_2055,BEARISH,173.74,169.53,1763568000000.0,False
4h_2057,BULLISH,173.43,169.53,1763596800000.0,False
4h_2058,BULLISH,175.18,174.75,1763611200000.0,False
4h_2061,BEARISH,175.99,174.1,1763654400000.0,False
4h_2062,BEARISH,173.67,167.1,1763668800000.0,False
4h_2065,BEARISH,162.6,158.63,1763712000000.0,False
4h_2074,BULLISH,158.41,158.39,1763841600000.0,False
4h_2075,BULLISH,160.23,160.22,1763856000000.0,False
4h_2080,BULLISH,166.78,165.06,1763928000000.0,False
4h_2086,BULLISH,176.89,171.93,1764014400000.0,False
4h_2098,BULLISH,184.76,178.4,1764187200000.0,False
4h_2104,BULLISH,185.6,185.41,1764273600000.0,False
4h_2118,BULLISH,184.3,183.51,1764475200000.0,False
4h_2120,BEARISH,184.3,181.39,1764504000000.0,False
4h_2123,BEARISH,179.17,178.67,1764547200000.0,False
4h_2124,BEARISH,177.35,167.43,1764561600000.0,False
4h_2129,BULLISH,168.58,165.08,1764633600000.0,False
4h_2133,BULLISH,182.86,171.0,1764691200000.0,False
4h_2134,BULLISH,185.13,184.14,1764705600000.0,False
4h_2141,BULLISH,195.98,195.46,1764806400000.0,False
4h_2143,BEARISH,195.98,194.28,1764835200000.0,False
4h_2146,BEARISH,192.42,191.66,1764878400000.0,False
4h_2152,BEARISH,187.51,184.99,1764964800000.0,False
4h_2157,BULLISH,186.7,184.5,1765036800000.0,False
4h_2172,BEARISH,190.7,190.51,1765252800000.0,False
4h_2175,BULLISH,196.27,190.29,1765296000000.0,False
4h_2176,BULLISH,201.1,196.27,1765310400000.0,False
4h_2178,BEARISH,201.1,200.98,1765339200000.0,False
4h_2183,BEARISH,197.19,197.12,1765411200000.0,False
4h_2184,BEARISH,196.61,191.56,1765425600000.0,False
4h_2188,BULLISH,193.52,192.26,1765483200000.0,False
4h_2189,BULLISH,201.2,195.59,1765497600000.0,False
4h_1765555200000,BEARISH,203.33,193.83,1765555200000.0,False
