Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,Mode,status
TH_131915,Gamma_HEDGE_REVERSAL,LONG,2025-10-13 19:15:00,258.88,2025-10-14 03:00:00,254.58,-0.016610012360939366,SL_HIT,HEDGE_REVERSAL|MACD:0.6292|Dist:0.018,280.8848,254.99679999999998,262.45,HEDGE_REVERSAL,CLOSED
TH_162100,Gamma_HEDGE_REVERSAL,SHORT,2025-10-16 21:00:00,228.89,2025-10-17 07:30:00,209.22,0.08593647603652405,TP_HIT,HEDGE_REVERSAL|MACD:-0.4403|Dist:0.013,209.43435,213.8978,209.22,HEDGE_REVERSAL,CLOSED
TH_170900,Gamma_HEDGE_REVERSAL,SHORT,2025-10-17 09:00:00,206.22,2025-10-17 11:00:00,210.51,-0.02080302589467555,SL_HIT,HEDGE_REVERSAL|MACD:-0.9248|Dist:0.023,188.6913,209.31329999999997,204.88,HEDGE_REVERSAL,CLOSED
TH_191300,Gamma_HEDGE_REVERSAL,LONG,2025-10-19 13:00:00,220.41,2025-10-20 10:45:00,231.67,0.05108661131527604,SL_HIT,HEDGE_REVERSAL|MACD:0.1727|Dist:0.032,239.14485,231.6996,234.04,HEDGE_REVERSAL,CLOSED
TH_210415,Gamma_HEDGE_REVERSAL,SHORT,2025-10-21 04:15:00,222.04,2025-10-21 14:00:00,225.41,-0.015177445505314378,SL_HIT,HEDGE_REVERSAL|MACD:-0.4041|Dist:0.023,203.1666,225.37059999999997,218.54,HEDGE_REVERSAL,CLOSED
TH_211545,Gamma_HEDGE_REVERSAL,LONG,2025-10-21 15:45:00,235.48,2025-10-21 16:45:00,231.29,-0.017793443179887878,SL_HIT,HEDGE_REVERSAL|MACD:1.4497|Dist:0.021,255.49579999999997,231.9478,236.45,HEDGE_REVERSAL,CLOSED
TH_240400,Gamma_HEDGE_REVERSAL,LONG,2025-10-24 04:00:00,225.97,2025-10-24 07:00:00,231.04,0.022436606629198535,SL_HIT,HEDGE_REVERSAL|MACD:0.1240|Dist:0.023,245.17745,231.58079999999998,233.92,HEDGE_REVERSAL,CLOSED
TH_261230,Gamma_HEDGE_REVERSAL,LONG,2025-10-26 12:30:00,234.81,2025-10-27 06:00:00,245.36,0.04492994335846008,SL_HIT,HEDGE_REVERSAL|MACD:0.4408|Dist:0.027,254.76885,245.916,248.4,HEDGE_REVERSAL,CLOSED
TH_301400,Gamma_HEDGE_REVERSAL,SHORT,2025-10-30 14:00:00,215.71,2025-10-30 20:45:00,211.43,0.01984145380371796,SL_HIT,HEDGE_REVERSAL|MACD:-0.6947|Dist:0.017,197.37465,210.1103,208.03,HEDGE_REVERSAL,CLOSED
TH_030500,Gamma_HEDGE_REVERSAL,SHORT,2025-11-03 05:00:00,217.78,2025-11-03 08:00:00,212.34,0.024979336945541362,SL_HIT,HEDGE_REVERSAL|MACD:-0.7522|Dist:0.021,199.2687,212.201,210.1,HEDGE_REVERSAL,CLOSED
