Grid_ID,Side,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Qty_Closed,PnL_USD,PnL_Pct,Reason,Entry_ADX,Duration_Min,MAE_Pct
G_1736721000,LONG,2025-01-12 22:30:00,2025-01-13 00:15:00,286.94,289.0935,0.1,0.22,0.75,TP_MAIN_MID,19.65,105,-0.36
G_1736721000,LONG,2025-01-12 22:30:00,2025-01-13 01:30:00,286.94,286.94,0.1,0.0,0.0,RUNNER_BE,19.65,180,-0.36
G_1736623800,LONG,2025-01-11 19:30:00,2025-01-13 01:45:00,284.43,284.43,0.1,0.0,0.0,RUNNER_BE,11.18,1815,-0.13
G_1736590500,SHORT,2025-01-11 10:15:00,2025-01-13 05:00:00,284.66,284.36350000000004,0.1,0.03,0.1,TP_MAIN_MID,11.25,2565,-4.35
G_1736781300,SHORT,2025-01-13 15:15:00,2025-01-13 17:00:00,273.18,268.54200000000003,0.1,0.46,1.7,TP_MAIN_MID,29.03,105,-1.33
G_1736781300,SHORT,2025-01-13 15:15:00,2025-01-13 20:30:00,273.18,273.18,0.1,0.0,0.0,RUNNER_BE,29.03,315,-3.12
G_1736590500,SHORT,2025-01-11 10:15:00,2025-01-13 21:30:00,284.66,284.66,0.1,0.0,0.0,RUNNER_BE,11.25,3555,-4.35
G_1736735400,LONG,2025-01-13 02:30:00,2025-01-13 23:45:00,281.24,281.45349999999996,0.1,0.02,0.08,TP_MAIN_MID,19.34,1275,-8.91
G_1736804700,SHORT,2025-01-13 21:45:00,2025-01-14 01:00:00,288.18,286.4415,0.1,0.17,0.6,TP_MAIN_MID,27.23,195,-2.72
G_1736804700,SHORT,2025-01-13 21:45:00,2025-01-14 01:15:00,288.18,288.18,0.1,0.0,0.0,RUNNER_BE,27.23,210,-2.72
G_1736841600,LONG,2025-01-14 08:00:00,2025-01-14 08:45:00,288.28,289.216,0.1,0.09,0.32,TP_MAIN_MID,20.51,45,-0.49
G_1736841600,LONG,2025-01-14 08:00:00,2025-01-14 12:15:00,288.28,288.28,0.1,0.0,0.0,RUNNER_BE,20.51,255,-0.69
G_1736883000,SHORT,2025-01-14 19:30:00,2025-01-14 20:00:00,293.62,291.7605,0.1,0.19,0.63,TP_MAIN_MID,16.17,30,-0.04
G_1736883000,SHORT,2025-01-14 19:30:00,2025-01-14 21:00:00,293.62,293.62,0.1,0.0,0.0,RUNNER_BE,16.17,90,-0.5
G_1736889300,SHORT,2025-01-14 21:15:00,2025-01-15 06:15:00,294.13,294.088,0.1,0.0,0.01,TP_MAIN_MID,17.98,540,-2.52
G_1736889300,SHORT,2025-01-14 21:15:00,2025-01-15 06:45:00,294.13,294.13,0.1,0.0,0.0,RUNNER_BE,17.98,570,-2.52
G_1736932500,LONG,2025-01-15 09:15:00,2025-01-15 14:00:00,290.34,290.96999999999997,0.1,0.06,0.22,TP_MAIN_MID,16.52,285,-1.62
G_1735905600,SHORT,2025-01-03 12:00:00,2025-01-17 15:00:00,331.43,331.43,0.1,0.0,0.0,RUNNER_BE,24.61,20340,-9.01
G_1737144900,SHORT,2025-01-17 20:15:00,2025-01-18 04:45:00,332.98,332.40999999999997,0.1,0.06,0.17,TP_MAIN_MID,14.2,510,-2.68
G_1737144900,SHORT,2025-01-17 20:15:00,2025-01-19 15:00:00,332.98,332.98,0.1,0.0,0.0,RUNNER_BE,14.2,2565,-2.68
G_1736175600,SHORT,2025-01-06 15:00:00,2025-01-20 07:00:00,349.62,349.62,0.1,0.0,0.0,RUNNER_BE,20.23,19680,-1.65
G_1736179200,SHORT,2025-01-06 16:00:00,2025-01-20 07:15:00,354.23,354.23,0.1,0.0,0.0,RUNNER_BE,25.66,19635,-2.09
G_1737377100,LONG,2025-01-20 12:45:00,2025-01-20 13:15:00,331.99,343.867,0.1,1.19,3.58,TP_MAIN_MID,29.5,30,-0.43
G_1737383400,SHORT,2025-01-20 14:30:00,2025-01-20 15:45:00,352.22,344.139,0.1,0.81,2.29,TP_MAIN_MID,29.36,75,-0.81
G_1737383400,SHORT,2025-01-20 14:30:00,2025-01-20 16:30:00,352.22,352.22,0.1,0.0,0.0,RUNNER_BE,29.36,120,-0.81
G_1737377100,LONG,2025-01-20 12:45:00,2025-01-20 17:30:00,331.99,331.99,0.1,0.0,0.0,RUNNER_BE,29.5,285,-3.88
G_1737394200,LONG,2025-01-20 17:30:00,2025-01-20 18:45:00,321.72,343.5895,0.1,2.19,6.8,TP_MAIN_MID,25.51,75,-0.35
G_1737416700,LONG,2025-01-20 23:45:00,2025-01-21 02:00:00,337.53,339.992,0.1,0.25,0.73,TP_MAIN_MID,13.69,135,-3.09
G_1737416700,LONG,2025-01-20 23:45:00,2025-01-21 04:30:00,337.53,337.53,0.1,0.0,0.0,RUNNER_BE,13.69,285,-3.09
G_1735181100,LONG,2024-12-26 02:45:00,2025-01-21 13:15:00,358.5,358.7045,0.1,0.02,0.06,TP_MAIN_MID,25.62,38070,-28.54
G_1735181100,LONG,2024-12-26 02:45:00,2025-01-21 15:00:00,358.5,358.5,0.1,0.0,0.0,RUNNER_BE,25.62,38175,-28.54
G_1735102800,SHORT,2024-12-25 05:00:00,2025-01-21 19:00:00,376.58,376.58,0.1,0.0,0.0,RUNNER_BE,17.02,39720,-2.5
G_1735173000,LONG,2024-12-26 00:30:00,2025-01-21 19:45:00,364.34,364.861,0.1,0.05,0.14,TP_MAIN_MID,12.35,38595,-29.69
G_1737486900,SHORT,2025-01-21 19:15:00,2025-01-21 21:45:00,376.73,370.34700000000004,0.1,0.64,1.69,TP_MAIN_MID,27.35,150,-0.47
G_1737486900,SHORT,2025-01-21 19:15:00,2025-01-21 22:45:00,376.73,376.73,0.1,0.0,0.0,RUNNER_BE,27.35,210,-0.47
G_1735173000,LONG,2024-12-26 00:30:00,2025-01-22 01:00:00,364.34,364.34,0.1,0.0,0.0,RUNNER_BE,12.35,38910,-29.69
G_1737483300,SHORT,2025-01-21 18:15:00,2025-01-22 01:45:00,368.99,368.61299999999994,0.1,0.04,0.1,TP_MAIN_MID,19.69,450,-2.57
G_1737483300,SHORT,2025-01-21 18:15:00,2025-01-22 03:30:00,368.99,368.99,0.1,0.0,0.0,RUNNER_BE,19.69,555,-2.57
G_1737507600,LONG,2025-01-22 01:00:00,2025-01-22 03:30:00,364.84,366.39700000000005,0.1,0.16,0.43,TP_MAIN_MID,19.79,150,-1.55
G_1737507600,LONG,2025-01-22 01:00:00,2025-01-22 03:45:00,364.84,364.84,0.1,0.0,0.0,RUNNER_BE,19.79,165,-1.55
G_1737527400,LONG,2025-01-22 06:30:00,2025-01-22 08:45:00,359.06,360.297,0.1,0.12,0.34,TP_MAIN_MID,11.84,135,-1.47
G_1737531000,LONG,2025-01-22 07:30:00,2025-01-22 08:45:00,356.5,360.297,0.1,0.38,1.07,TP_MAIN_MID,15.49,75,-0.76
G_1737527400,LONG,2025-01-22 06:30:00,2025-01-22 09:00:00,359.06,359.06,0.1,0.0,0.0,RUNNER_BE,11.84,150,-1.47
G_1737542700,SHORT,2025-01-22 10:45:00,2025-01-22 11:45:00,364.31,360.48449999999997,0.1,0.38,1.05,TP_MAIN_MID,18.74,60,-0.32
G_1737531000,LONG,2025-01-22 07:30:00,2025-01-22 13:00:00,356.5,356.5,0.1,0.0,0.0,RUNNER_BE,15.49,330,-0.76
G_1737561600,LONG,2025-01-22 16:00:00,2025-01-22 18:00:00,351.67,353.7675,0.1,0.21,0.6,TP_MAIN_MID,22.95,120,-0.65
G_1737561600,LONG,2025-01-22 16:00:00,2025-01-22 18:15:00,351.67,351.67,0.1,0.0,0.0,RUNNER_BE,22.95,135,-0.86
G_1737571500,LONG,2025-01-22 18:45:00,2025-01-22 19:15:00,349.11,352.3145,0.1,0.32,0.92,TP_MAIN_MID,26.4,30,-0.18
G_1737571500,LONG,2025-01-22 18:45:00,2025-01-22 19:45:00,349.11,349.11,0.1,0.0,0.0,RUNNER_BE,26.4,60,-0.18
G_1737585900,LONG,2025-01-22 22:45:00,2025-01-23 00:15:00,346.94,349.7095,0.1,0.28,0.8,TP_MAIN_MID,17.94,90,-0.5
G_1737585900,LONG,2025-01-22 22:45:00,2025-01-23 00:30:00,346.94,346.94,0.1,0.0,0.0,RUNNER_BE,17.94,105,-0.5
G_1737450000,SHORT,2025-01-21 09:00:00,2025-01-23 02:30:00,345.32,344.869,0.1,0.05,0.13,TP_MAIN_MID,8.85,2490,-9.61
G_1737450000,SHORT,2025-01-21 09:00:00,2025-01-23 14:30:00,345.32,345.32,0.1,0.0,0.0,RUNNER_BE,8.85,3210,-9.61
G_1737643500,SHORT,2025-01-23 14:45:00,2025-01-23 15:15:00,342.49,335.62,0.1,0.69,2.01,TP_MAIN_MID,20.99,30,-0.5
G_1737643500,SHORT,2025-01-23 14:45:00,2025-01-23 16:00:00,342.49,342.49,0.1,0.0,0.0,RUNNER_BE,20.99,75,-0.5
G_1737648900,SHORT,2025-01-23 16:15:00,2025-01-23 16:45:00,340.56,337.293,0.1,0.33,0.96,TP_MAIN_MID,20.1,30,-0.34
G_1737648900,SHORT,2025-01-23 16:15:00,2025-01-23 20:15:00,340.56,340.56,0.1,0.0,0.0,RUNNER_BE,20.1,240,-0.72
G_1737666900,LONG,2025-01-23 21:15:00,2025-01-23 22:00:00,327.24,332.631,0.1,0.54,1.65,TP_MAIN_MID,15.3,45,-0.9
G_1737593100,LONG,2025-01-23 00:45:00,2025-01-24 08:15:00,343.44,343.77750000000003,0.1,0.03,0.1,TP_MAIN_MID,18.19,1890,-5.57
G_1737593100,LONG,2025-01-23 00:45:00,2025-01-24 20:30:00,343.44,343.44,0.1,0.0,0.0,RUNNER_BE,18.19,2625,-5.57
G_1737666900,LONG,2025-01-23 21:15:00,2025-01-25 19:45:00,327.24,327.24,0.1,0.0,0.0,RUNNER_BE,15.3,2790,-0.9
G_1737848700,LONG,2025-01-25 23:45:00,2025-01-26 00:15:00,326.42,328.49,0.1,0.21,0.63,TP_MAIN_MID,11.91,30,-0.1
G_1737848700,LONG,2025-01-25 23:45:00,2025-01-26 01:45:00,326.42,326.42,0.1,0.0,0.0,RUNNER_BE,11.91,120,-0.1
G_1737856800,LONG,2025-01-26 02:00:00,2025-01-26 03:00:00,326.28,327.672,0.1,0.14,0.43,TP_MAIN_MID,10.37,60,-0.5
G_1737856800,LONG,2025-01-26 02:00:00,2025-01-26 09:15:00,326.28,326.28,0.1,0.0,0.0,RUNNER_BE,10.37,435,-0.5
G_1737883800,LONG,2025-01-26 09:30:00,2025-01-26 11:00:00,325.26,328.323,0.1,0.31,0.94,TP_MAIN_MID,15.45,90,-0.27
G_1737883800,LONG,2025-01-26 09:30:00,2025-01-26 12:30:00,325.26,325.26,0.1,0.0,0.0,RUNNER_BE,15.45,180,-0.27
G_1737394200,LONG,2025-01-20 17:30:00,2025-01-26 22:00:00,321.72,321.72,0.1,0.0,0.0,RUNNER_BE,25.51,8910,-0.35
G_1737905400,SHORT,2025-01-26 15:30:00,2025-01-26 23:15:00,329.07,328.59000000000003,0.1,0.05,0.15,TP_MAIN_MID,11.33,465,-1.64
G_1737346500,SHORT,2025-01-20 04:15:00,2025-01-27 03:30:00,311.94,311.173,0.1,0.08,0.25,TP_MAIN_MID,28.42,10035,-21.33
G_1736932500,LONG,2025-01-15 09:15:00,2025-01-27 07:15:00,290.34,290.34,0.1,0.0,0.0,RUNNER_BE,16.52,17160,-1.62
G_1737989100,SHORT,2025-01-27 14:45:00,2025-01-27 17:15:00,303.66,300.9065,0.1,0.28,0.91,TP_MAIN_MID,29.85,150,-1.1
G_1737989100,SHORT,2025-01-27 14:45:00,2025-01-27 17:30:00,303.66,303.66,0.1,0.0,0.0,RUNNER_BE,29.85,165,-1.1
G_1738001700,LONG,2025-01-27 18:15:00,2025-01-27 20:15:00,293.95,298.2845,0.1,0.43,1.47,TP_MAIN_MID,23.02,120,-0.78
G_1738011600,SHORT,2025-01-27 21:00:00,2025-01-28 00:30:00,307.7,302.2795,0.1,0.54,1.76,TP_MAIN_MID,19.37,210,-0.93
G_1738001700,LONG,2025-01-27 18:15:00,2025-01-28 14:00:00,293.95,293.95,0.1,0.0,0.0,RUNNER_BE,23.02,1185,-0.78
