Timestamp,Event_Type,Close_Price,BB_Width_T0,BB_Expansion_Rate,RSI_T0,Width_T-1,Width_T-2,Width_T-3,Did_Revert_To_Mean,Bars_To_Mean,MAE_To_Mean_%,Did_Touch_Opposite,Bars_To_Opposite,Context_1h_State,Context_1h_Width,Context_1h_RSI,Context_4h_State,Context_4h_Width,Context_4h_RSI
2025-01-18 16:45:00,LOWER_BREAK,310.04,2.926,1.07,45.31,2.531,2.539,2.734,True,10,0.597,True,26,NEUTRAL,12.68,31.52,NEUTRAL,8.19,51.8
2025-01-18 23:15:00,UPPER_BREAK,317.03,2.229,1.07,54.96,1.918,1.899,2.077,True,3,0.606,True,23,NEUTRAL,4.41,53.41,NEUTRAL,8.14,49.49
2025-01-19 01:00:00,UPPER_BREAK,320.52,3.23,1.25,70.65,2.564,2.581,2.575,True,9,1.869,True,16,NEUTRAL,3.59,55.93,NEUTRAL,8.11,49.17
2025-01-19 02:30:00,UPPER_BREAK,326.1,5.068,1.27,74.24,4.518,4.203,3.984,True,3,0.018,True,10,BREAK_UP,4.68,61.03,NEUTRAL,8.11,49.17
2025-01-19 05:00:00,LOWER_BREAK,308.52,5.441,1.29,23.69,4.853,4.5,4.208,True,23,4.522,True,35,NEUTRAL,4.85,47.54,NEAR_LOWER,8.59,48.14
2025-01-19 08:15:00,LOWER_BREAK,302.01,4.914,0.87,32.6,4.612,4.937,5.626,True,10,2.463,True,22,BREAK_DOWN,6.61,39.98,BREAK_DOWN,10.79,33.31
2025-01-19 13:45:00,UPPER_BREAK,312.13,5.045,1.63,67.75,3.414,3.18,3.094,True,24,11.55,True,29,NEUTRAL,9.5,47.45,NEAR_UPPER,11.28,53.96
2025-01-19 21:15:00,LOWER_BREAK,330.86,4.069,0.91,21.89,2.467,3.199,4.483,True,20,10.497,True,29,NEUTRAL,21.39,54.87,NEUTRAL,13.1,43.59
2025-01-19 23:15:00,LOWER_BREAK,305.08,16.21,1.34,16.03,14.415,12.949,12.114,True,12,2.934,True,21,NEUTRAL,21.59,53.16,NEUTRAL,13.1,43.59
2025-01-20 04:30:00,UPPER_BREAK,318.64,6.816,1.23,73.86,5.926,5.721,5.544,True,24,14.672,True,30,NEUTRAL,22.1,42.32,BREAK_UP,16.14,55.4
2025-01-20 05:00:00,UPPER_BREAK,323.26,8.785,1.48,81.82,7.527,6.816,5.926,True,22,13.033,True,28,NEUTRAL,22.1,42.32,BREAK_UP,16.14,55.4
2025-01-20 06:45:00,UPPER_BREAK,339.94,11.106,1.12,85.07,9.88,9.706,9.889,True,15,7.487,True,21,NEUTRAL,21.47,49.03,BREAK_UP,16.14,55.4
2025-01-20 12:00:00,LOWER_BREAK,336.21,7.535,0.87,19.39,6.651,6.948,8.615,True,5,2.144,True,10,NEUTRAL,22.38,64.2,NEAR_UPPER,17.14,54.95
2025-01-20 17:30:00,LOWER_BREAK,321.72,9.41,1.13,23.73,8.069,8.232,8.362,True,5,0.354,True,5,NEUTRAL,23.08,59.05,NEAR_UPPER,20.21,61.38
2025-01-21 00:15:00,LOWER_BREAK,333.79,6.868,1.2,29.14,6.388,6.426,5.739,True,7,2.007,True,35,NEAR_LOWER,10.7,43.2,NEUTRAL,21.14,57.74
2025-01-21 00:45:00,LOWER_BREAK,328.24,7.496,1.17,26.57,6.8,6.868,6.388,True,5,0.25,True,33,NEAR_LOWER,10.7,43.2,NEUTRAL,21.14,57.74
2025-01-21 09:15:00,UPPER_BREAK,347.97,3.914,1.15,69.17,3.379,3.12,3.389,True,19,6.84,True,23,NEAR_UPPER,8.47,50.07,NEAR_UPPER,23.32,60.14
2025-01-21 10:15:00,UPPER_BREAK,362.56,7.827,1.74,76.32,6.226,5.784,4.5,True,15,2.54,True,19,BREAK_UP,10.08,59.06,NEAR_UPPER,23.32,60.14
2025-01-21 15:00:00,LOWER_BREAK,356.1,3.704,0.67,46.93,4.324,4.672,5.556,True,4,0.242,True,12,NEUTRAL,12.89,70.89,NEAR_UPPER,23.95,61.16
2025-01-21 18:00:00,UPPER_BREAK,369.37,4.05,0.93,58.96,3.596,3.666,4.338,True,15,2.469,True,25,NEAR_UPPER,13.77,64.73,NEAR_UPPER,25.65,67.75
2025-01-21 18:45:00,UPPER_BREAK,373.48,5.452,1.35,71.98,4.769,4.312,4.05,True,12,1.341,True,22,NEAR_UPPER,14.89,73.29,NEAR_UPPER,25.65,67.75
2025-01-21 19:15:00,UPPER_BREAK,376.73,6.731,1.41,80.84,5.878,5.452,4.769,True,10,0.467,True,20,NEAR_UPPER,15.13,75.89,NEAR_UPPER,25.65,67.75
2025-01-22 01:00:00,LOWER_BREAK,364.84,3.04,1.23,36.07,2.719,2.684,2.472,True,10,1.546,True,39,NEUTRAL,12.82,53.06,NEUTRAL,26.88,56.58
2025-01-22 06:15:00,LOWER_BREAK,358.96,2.135,0.95,40.02,1.871,1.865,2.235,True,10,1.443,True,18,NEAR_LOWER,5.56,47.76,NEUTRAL,26.27,65.44
2025-01-22 22:45:00,LOWER_BREAK,346.94,1.79,1.05,39.73,1.631,1.65,1.703,True,6,0.496,True,60,NEAR_LOWER,6.4,26.71,NEUTRAL,18.58,49.89
2025-01-23 00:45:00,LOWER_BREAK,343.44,2.892,1.22,35.2,2.437,2.343,2.362,True,20,3.381,True,52,NEAR_LOWER,6.74,14.4,NEUTRAL,18.77,41.64
2025-01-23 01:30:00,LOWER_BREAK,339.52,3.799,1.31,22.97,3.421,3.322,2.892,True,17,2.265,True,49,BREAK_DOWN,7.72,13.5,NEUTRAL,18.77,41.64
