Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,Mode,status
SW_042200,Swing_SWING_NORMAL,SHORT,2025-02-04 22:00:00,267.63,2025-02-05 11:00:00,279.19,-0.043193961812950724,SL_HIT,SWING_NORMAL|DistMacro:0.005,235.5144,278.3352,265.91,SWING_NORMAL,CLOSED
SW_070300,Swing_SWING_NORMAL,LONG,2025-02-07 03:00:00,246.03,2025-02-07 20:00:00,233.67,-0.050237775880990175,SL_HIT,SWING_NORMAL|DistMacro:0.009,275.5536,236.1888,257.94,SWING_NORMAL,CLOSED
SW_081400,Swing_SWING_NORMAL,LONG,2025-02-08 14:00:00,234.05,2025-02-09 06:00:00,246.09,0.05144199957274083,SL_HIT,SWING_NORMAL|DistMacro:0.006,262.136,246.1956,251.22,SWING_NORMAL,CLOSED
SW_111100,Swing_SWING_NORMAL,SHORT,2025-02-11 11:00:00,258.09,2025-02-12 16:00:00,244.48,0.05273354256267188,SL_HIT,SWING_NORMAL|DistMacro:0.013,227.11919999999998,242.65800000000002,237.9,SWING_NORMAL,CLOSED
SW_190000,Swing_SWING_NORMAL,LONG,2025-02-19 00:00:00,248.41,2025-02-21 15:00:00,255.09,0.026891026931282987,SL_HIT,SWING_NORMAL|DistMacro:0.005,278.2192,262.7968,268.16,SWING_NORMAL,CLOSED
SW_241600,Swing_SWING_HEDGE,SHORT,2025-02-24 16:00:00,228.77,2025-02-24 22:00:00,208.12,0.09026533199283125,TP_HIT,SWING_HEDGE|DistMacro:0.062,210.46840000000003,223.1862,208.12,SWING_HEDGE,CLOSED
SW_242300,Swing_SWING_HEDGE,SHORT,2025-02-24 23:00:00,210.63,2025-02-25 11:00:00,200.62,0.047524094383516076,SL_HIT,SWING_HEDGE|DistMacro:0.090,193.77960000000002,198.1962,194.31,SWING_HEDGE,CLOSED
SW_280400,Swing_SWING_HEDGE,SHORT,2025-02-28 04:00:00,185.5,2025-02-28 15:00:00,191.17,-0.03056603773584899,SL_HIT,SWING_HEDGE|DistMacro:0.054,170.66,191.065,180.79,SWING_HEDGE,CLOSED
SW_030300,Swing_SWING_NORMAL,SHORT,2025-03-03 03:00:00,215.37,2025-03-03 18:00:00,189.1,0.12197613409481362,TP_HIT,SWING_NORMAL|DistMacro:0.006,189.5256,202.5618,189.1,SWING_NORMAL,CLOSED
SW_051300,Swing_SWING_NORMAL,SHORT,2025-03-05 13:00:00,214.85,2025-03-06 01:00:00,230.89,-0.07465673725855244,SL_HIT,SWING_NORMAL|DistMacro:0.001,189.06799999999998,223.444,213.42,SWING_NORMAL,CLOSED
SW_061100,Swing_SWING_NORMAL,SHORT,2025-03-06 11:00:00,228.16,2025-03-07 01:00:00,210.16,0.07889200561009818,SL_HIT,SWING_NORMAL|DistMacro:0.017,200.7808,204.89759999999998,200.88,SWING_NORMAL,CLOSED
SW_131300,Swing_SWING_NORMAL,LONG,2025-03-13 13:00:00,169.27,2025-03-13 19:00:00,161.03,-0.04867962426891953,SL_HIT,SWING_NORMAL|DistMacro:0.003,189.58240000000004,162.4992,171.62,SWING_NORMAL,CLOSED
SW_241700,Swing_SWING_NORMAL,SHORT,2025-03-24 17:00:00,192.87,2025-03-27 01:00:00,181.1,0.06102556125887909,SL_HIT,SWING_NORMAL|DistMacro:0.001,169.72560000000001,180.3462,176.81,SWING_NORMAL,CLOSED
SW_061600,Swing_SWING_HEDGE,SHORT,2025-04-06 16:00:00,142.09,2025-04-06 20:00:00,129.18,0.0908579069603772,TP_HIT,SWING_HEDGE|DistMacro:0.088,130.7228,135.303,129.18,SWING_HEDGE,CLOSED
SW_062100,Swing_SWING_HEDGE,SHORT,2025-04-06 21:00:00,129.28,2025-04-07 06:00:00,114.96,0.11076732673267332,TP_HIT,SWING_HEDGE|DistMacro:0.119,118.9376,125.3784,114.96,SWING_HEDGE,CLOSED
SW_100400,Swing_SWING_NORMAL,SHORT,2025-04-10 04:00:00,139.57,2025-04-10 20:00:00,132.71,0.0491509636741419,SL_HIT,SWING_NORMAL|DistMacro:0.010,122.82159999999999,132.0084,129.42,SWING_NORMAL,CLOSED
SW_130100,Swing_SWING_NORMAL,SHORT,2025-04-13 01:00:00,144.98,2025-04-16 18:00:00,132.8,0.08401158780521437,SL_HIT,SWING_NORMAL|DistMacro:0.003,127.58239999999999,132.62040000000002,130.02,SWING_NORMAL,CLOSED
SW_221200,Swing_SWING_HEDGE,LONG,2025-04-22 12:00:00,148.87,2025-04-23 02:00:00,161.95,0.08786189292671448,TP_HIT,SWING_HEDGE|DistMacro:0.050,160.77960000000002,155.7808,161.95,SWING_HEDGE,CLOSED
SW_230300,Swing_SWING_HEDGE,LONG,2025-04-23 03:00:00,163.25,2025-04-24 03:00:00,164.84,0.009739663093415028,SL_HIT,SWING_HEDGE|DistMacro:0.106,176.31,165.865,169.25,SWING_HEDGE,CLOSED
SW_081200,Swing_SWING_HEDGE,LONG,2025-05-08 12:00:00,186.5,2025-05-08 20:00:00,204.42,0.09608579088471843,TP_HIT,SWING_HEDGE|DistMacro:0.064,201.42000000000002,194.5104,204.42,SWING_HEDGE,CLOSED
SW_082100,Swing_SWING_HEDGE,LONG,2025-05-08 21:00:00,203.55,2025-05-09 09:00:00,208.41,0.023876197494473027,SL_HIT,SWING_HEDGE|DistMacro:0.127,219.83400000000003,209.6906,213.97,SWING_HEDGE,CLOSED
SW_100600,Swing_SWING_NORMAL,SHORT,2025-05-10 06:00:00,215.51,2025-05-10 18:00:00,224.87,-0.043431859310472894,SL_HIT,SWING_NORMAL|DistMacro:0.010,189.6488,224.1304,215.51,SWING_NORMAL,CLOSED
