Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,Mode,status
TH_190930,Gamma_HEDGE_REVERSAL,SHORT,2025-01-19 09:30:00,301.44,2025-01-19 12:00:00,298.62,0.009355095541401251,SL_HIT,HEDGE_REVERSAL|MACD:-0.8167|Dist:0.017,287.8752,297.4248,294.48,HEDGE_REVERSAL,CLOSED
TH_191515,Gamma_HEDGE_REVERSAL,LONG,2025-01-19 15:15:00,328.83,2025-01-19 17:15:00,345.29,0.05005626007359437,TP_HIT,HEDGE_REVERSAL|MACD:3.8449|Dist:0.014,343.62735,340.1442,345.29,HEDGE_REVERSAL,CLOSED
TH_191730,Gamma_HEDGE_REVERSAL,LONG,2025-01-19 17:30:00,344.64,2025-01-19 21:15:00,331.02,-0.039519498607242354,SL_HIT,HEDGE_REVERSAL|MACD:1.5262|Dist:0.060,360.14879999999994,339.4704,347.22,HEDGE_REVERSAL,CLOSED
TH_192330,Gamma_HEDGE_REVERSAL,SHORT,2025-01-19 23:30:00,309.99,2025-01-20 01:00:00,302.2,0.02512984289815807,SL_HIT,HEDGE_REVERSAL|MACD:-3.6784|Dist:0.015,296.04045,302.1112,299.12,HEDGE_REVERSAL,CLOSED
TH_200730,Gamma_HEDGE_REVERSAL,LONG,2025-01-20 07:30:00,352.62,2025-01-20 08:15:00,357.8,0.014690034598151004,SL_HIT,HEDGE_REVERSAL|MACD:4.6577|Dist:0.018,368.48789999999997,358.6077,362.23,HEDGE_REVERSAL,CLOSED
TH_230215,Gamma_HEDGE_REVERSAL,SHORT,2025-01-23 02:15:00,337.28,2025-01-23 11:00:00,336.04,0.0036764705882351527,SL_HIT,HEDGE_REVERSAL|MACD:-0.9776|Dist:0.052,322.1024,334.60290000000003,331.29,HEDGE_REVERSAL,CLOSED
TH_240600,Gamma_HEDGE_REVERSAL,LONG,2025-01-24 06:00:00,346.1,2025-01-24 07:15:00,349.09,0.00863912164114404,SL_HIT,HEDGE_REVERSAL|MACD:1.7439|Dist:0.015,361.6745,349.7274,353.26,HEDGE_REVERSAL,CLOSED
TH_270000,Gamma_HEDGE_REVERSAL,SHORT,2025-01-27 00:00:00,317.35,2025-01-27 02:45:00,302.38,0.047171892232550895,TP_HIT,HEDGE_REVERSAL|MACD:-1.1484|Dist:0.041,303.06925,307.1208,302.38,HEDGE_REVERSAL,CLOSED
TH_270300,Gamma_HEDGE_REVERSAL,SHORT,2025-01-27 03:00:00,304.85,2025-01-27 07:15:00,288.45,0.053796949319337484,TP_HIT,HEDGE_REVERSAL|MACD:-0.5800|Dist:0.061,291.13175,298.6671,288.45,HEDGE_REVERSAL,CLOSED
TH_301100,Gamma_HEDGE_REVERSAL,LONG,2025-01-30 11:00:00,307.43,2025-01-30 18:15:00,314.08,0.02163094037667104,SL_HIT,HEDGE_REVERSAL|MACD:0.1275|Dist:0.028,321.26435,314.90909999999997,318.09,HEDGE_REVERSAL,CLOSED
