Trade_ID,Strategy,Side,Entry_Time,Exit_Time,PnL_Pct,Exit_Reason,Rem_Qty,Capital_After,Closed_Qty
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:57.459000,1970-01-01 00:28:57.464400,0.0,,0.39604554703562456,1147.3109356686753,
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:57.464400,1970-01-01 00:28:57.468000,0.0,,0.4009841737596414,1147.3109356686753,
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:57.468000,1970-01-01 00:28:57.470700,0.0,,0.3872681869083168,1147.3109356686753,
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:57.470700,1970-01-01 00:28:57.489600,0.0,,0.38015650580022936,1147.3109356686753,
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:57.489600,1970-01-01 00:28:57.496800,0.0,,0.4009841737596414,1147.3109356686753,
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:57.496800,1970-01-01 00:28:57.504900,0.0,,0.39604554703562456,1147.3109356686753,
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:57.504900,1970-01-01 00:28:57.509400,0.0,,0.3872681869083168,1147.3109356686753,
SHADOW_L_010028,SHADOW_V5,LONG,1970-01-01 00:28:57.420300,1970-01-01 00:28:57.509400,0.09697172800389954,TRAILING_STOP,0.0,1158.3888652515534,0.348034231318822
SHADOW_L_010028,SHADOW_V5,LONG,1970-01-01 00:28:57.505800,1970-01-01 00:28:57.516600,-0.0010169861220928388,TP1_MID_BAND,0.0,1158.2721853216233,0.3128148255497111
SHADOW_L_010028,SHADOW_V5,LONG,1970-01-01 00:28:57.508500,1970-01-01 00:28:57.516600,0.011978677567254016,TP1_MID_BAND,0.0,1159.6465120983992,0.31688420031726106
SHADOW_L_010028,SHADOW_V5,LONG,1970-01-01 00:28:57.416700,1970-01-01 00:28:57.526500,0.06349065268272452,TRAILING_STOP,0.0,1166.8996052840946,0.33845511832456415
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:57.512100,1970-01-01 00:28:57.529200,0.0,,0.38015650580022936,1166.8996052840946,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.526500,1970-01-01 00:28:57.529200,0.0,,0.3128148255497111,1166.8996052840946,
SHADOW_L_010028,SHADOW_V5,LONG,1970-01-01 00:28:57.374400,1970-01-01 00:28:57.529200,0.003753452061333973,TRAILING_STOP,0.0,1167.3457549893046,0.3328404406679619
SHADOW_L_010028,SHADOW_V5,LONG,1970-01-01 00:28:57.527400,1970-01-01 00:28:57.535500,0.0034451066674092527,TP1_MID_BAND,0.0,1167.7477643503407,0.3249873573453168
SHADOW_L_010028,SHADOW_V5,LONG,1970-01-01 00:28:57.531000,1970-01-01 00:28:57.535500,0.01065077138849921,TP1_MID_BAND,0.0,1168.9910776271133,0.3274462145832552
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.554400,1970-01-01 00:28:57.568800,0.0,,0.3128148255497111,1168.9910776271133,
SHADOW_L_010028,SHADOW_V5,LONG,1970-01-01 00:28:57.554400,1970-01-01 00:28:57.568800,-0.0007979098997315928,TP1_MID_BAND,0.0,1168.8978026717596,0.3301768331103272
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.569700,1970-01-01 00:28:57.618300,0.0,,0.31688420031726106,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.618300,1970-01-01 00:28:57.639900,0.0,,0.31688420031726106,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.639900,1970-01-01 00:28:57.642600,0.0,,0.3249873573453168,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.642600,1970-01-01 00:28:57.648000,0.0,,0.3274462145832552,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.648000,1970-01-01 00:28:57.663300,0.0,,0.3301768331103272,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.663300,1970-01-01 00:28:57.669600,0.0,,0.3274462145832552,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.669600,1970-01-01 00:28:57.689400,0.0,,0.31688420031726106,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.689400,1970-01-01 00:28:57.694800,0.0,,0.3274462145832552,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.694800,1970-01-01 00:28:57.696600,0.0,,0.3301768331103272,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.759600,1970-01-01 00:28:57.767700,0.0,,0.3301768331103272,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.780300,1970-01-01 00:28:57.817200,0.0,,0.3249873573453168,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.822600,1970-01-01 00:28:57.862200,0.0,,0.3274462145832552,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.863100,1970-01-01 00:28:57.865800,0.0,,0.31688420031726106,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.870300,1970-01-01 00:28:57.908100,0.0,,0.3301768331103272,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.908100,1970-01-01 00:28:57.963000,0.0,,0.3249873573453168,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.963000,1970-01-01 00:28:57.976500,0.0,,0.31688420031726106,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.976500,1970-01-01 00:28:57.981900,0.0,,0.3249873573453168,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.981900,1970-01-01 00:28:57.988200,0.0,,0.3274462145832552,1168.8978026717596,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:57.988200,1970-01-01 00:28:58.005300,0.0,,0.3301768331103272,1168.8978026717596,
