Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Fibo_Target,SL,Peak_Price,status
FL_185800,Flash_Vol_Breakout,SHORT,2025-07-01 18:58:00,263.8,2025-07-01 19:10:00,265.0,-0.004548900682335059,SL_FLASH,261.6896,264.8552,263.65,CLOSED
FL_192900,Flash_Vol_Breakout,SHORT,2025-07-01 19:29:00,263.83,2025-07-01 20:03:00,261.62,0.00837660614789819,TP_FLASH,261.71936,262.40376,261.62,CLOSED
FL_004600,Flash_Vol_Breakout,SHORT,2025-07-02 00:46:00,259.24,2025-07-02 01:19:00,259.0,0.0009257830581700705,SL_FLASH,257.16608,257.97492,257.46,CLOSED
FL_041600,Flash_Vol_Breakout,SHORT,2025-07-02 04:16:00,260.15,2025-07-02 05:58:00,261.36,-0.004651162790697815,SL_FLASH,258.06879999999995,261.19059999999996,258.9,CLOSED
FL_160500,Flash_Vol_Breakout,LONG,2025-07-02 16:05:00,275.15,2025-07-02 16:09:00,277.5,0.008540795929493087,TP_FLASH,277.3512,276.37614,277.5,CLOSED
FL_173800,Flash_Vol_Breakout,SHORT,2025-07-02 17:38:00,277.91,2025-07-02 17:50:00,276.9,0.003634270087438551,SL_FLASH,275.68672000000004,276.87264,276.32,CLOSED
FL_190500,Flash_Vol_Breakout,SHORT,2025-07-02 19:05:00,277.29,2025-07-02 19:58:00,278.75,-0.005265245771574811,SL_FLASH,275.07168,278.39916,276.15,CLOSED
FL_195900,Flash_Vol_Breakout,LONG,2025-07-02 19:59:00,279.67,2025-07-02 20:01:00,278.13,-0.005506489791540102,SL_FLASH,281.90736000000004,278.55132000000003,279.67,CLOSED
FL_223400,Flash_Vol_Breakout,LONG,2025-07-02 22:34:00,281.52,2025-07-02 22:40:00,280.2,-0.004688832054560931,SL_FLASH,283.77216,280.39392,281.7,CLOSED
FL_002100,Flash_Vol_Breakout,SHORT,2025-07-03 00:21:00,274.4,2025-07-03 00:44:00,275.96,-0.005685131195335286,SL_FLASH,272.2048,275.4976,274.03,CLOSED
FL_040700,Flash_Vol_Breakout,LONG,2025-07-03 04:07:00,274.15,2025-07-03 05:09:00,277.33,0.011599489330658425,TP_FLASH,276.34319999999997,275.00888,277.33,CLOSED
FL_060700,Flash_Vol_Breakout,LONG,2025-07-03 06:07:00,280.87,2025-07-03 07:00:00,279.74,-0.0040232135863566615,SL_FLASH,283.11696,279.74652,281.51,CLOSED
FL_094200,Flash_Vol_Breakout,LONG,2025-07-03 09:42:00,284.03,2025-07-03 09:48:00,282.07,-0.006900679505685948,SL_FLASH,286.30224,282.89387999999997,284.58,CLOSED
FL_101900,Flash_Vol_Breakout,SHORT,2025-07-03 10:19:00,279.05,2025-07-03 11:04:00,280.26,-0.00433614047661702,SL_FLASH,276.8176,280.1662,278.35,CLOSED
FL_123000,Flash_Vol_Breakout,SHORT,2025-07-03 12:30:00,280.71,2025-07-03 12:37:00,277.35,0.011969648391578344,TP_FLASH,278.46432,279.37764,277.35,CLOSED
FL_133700,Flash_Vol_Breakout,LONG,2025-07-03 13:37:00,282.48,2025-07-03 13:48:00,283.83,0.004779099405267508,SL_FLASH,284.73984,283.86114000000003,284.43,CLOSED
FL_164500,Flash_Vol_Breakout,LONG,2025-07-03 16:45:00,278.52,2025-07-03 17:18:00,279.81,0.004631624299870819,SL_FLASH,280.74816,280.01884,280.58,CLOSED
FL_190400,Flash_Vol_Breakout,LONG,2025-07-03 19:04:00,279.42,2025-07-03 21:03:00,281.67,0.008052394245222246,TP_FLASH,281.65536000000003,281.0368,281.67,CLOSED
FL_000200,Flash_Vol_Breakout,LONG,2025-07-04 00:02:00,279.55,2025-07-04 00:47:00,281.89,0.008370595600071454,TP_FLASH,281.7864,281.19648,281.89,CLOSED
FL_023300,Flash_Vol_Breakout,SHORT,2025-07-04 02:33:00,277.57,2025-07-04 04:43:00,275.33,0.008070036387217672,TP_FLASH,275.34944,275.94077999999996,275.33,CLOSED
FL_053000,Flash_Vol_Breakout,LONG,2025-07-04 05:30:00,277.06,2025-07-04 05:49:00,275.82,-0.0044755648595972315,SL_FLASH,279.27648,275.95176,277.07,CLOSED
FL_055600,Flash_Vol_Breakout,SHORT,2025-07-04 05:56:00,274.96,2025-07-04 06:31:00,273.8,0.0042187954611578714,SL_FLASH,272.76032,273.546,273.0,CLOSED
FL_071800,Flash_Vol_Breakout,SHORT,2025-07-04 07:18:00,271.6,2025-07-04 07:54:00,270.48,0.004123711340206202,SL_FLASH,269.4272,270.42978,269.89,CLOSED
FL_140700,Flash_Vol_Breakout,SHORT,2025-07-04 14:07:00,263.71,2025-07-04 14:21:00,262.36,0.005119259792954253,SL_FLASH,261.60031999999995,262.33362,261.81,CLOSED
FL_023100,Flash_Vol_Breakout,SHORT,2025-07-05 02:31:00,265.57,2025-07-05 02:36:00,266.73,-0.004367963248861035,SL_FLASH,263.44544,266.63228,265.51,CLOSED
FL_062000,Flash_Vol_Breakout,LONG,2025-07-05 06:20:00,268.94,2025-07-05 07:09:00,269.87,0.003458020376292135,SL_FLASH,271.09152,270.06878,270.61,CLOSED
FL_111700,Flash_Vol_Breakout,LONG,2025-07-05 11:17:00,272.1,2025-07-05 11:36:00,274.33,0.008195516354281372,TP_FLASH,274.27680000000004,273.6017,274.33,CLOSED
FL_170100,Flash_Vol_Breakout,LONG,2025-07-05 17:01:00,269.74,2025-07-05 17:05:00,268.6,-0.0042262919848742725,SL_FLASH,271.89792,268.66104,269.74,CLOSED
FL_215100,Flash_Vol_Breakout,LONG,2025-07-05 21:51:00,273.7,2025-07-05 22:49:00,274.45,0.002740226525392766,SL_FLASH,275.8896,274.63962,275.19,CLOSED
FL_035500,Flash_Vol_Breakout,LONG,2025-07-06 03:55:00,273.29,2025-07-06 04:32:00,272.14,-0.004207984192616027,SL_FLASH,275.47632000000004,272.19684,273.9,CLOSED
FL_061700,Flash_Vol_Breakout,LONG,2025-07-06 06:17:00,273.61,2025-07-06 06:28:00,272.5,-0.004056869266474228,SL_FLASH,275.79888,272.51556,273.68,CLOSED
FL_080100,Flash_Vol_Breakout,SHORT,2025-07-06 08:01:00,270.96,2025-07-06 10:30:00,272.1,-0.00420726306465915,SL_FLASH,268.79231999999996,272.04384,269.85,CLOSED
FL_132300,Flash_Vol_Breakout,LONG,2025-07-06 13:23:00,274.01,2025-07-06 13:39:00,275.07,0.003868471953578345,SL_FLASH,276.20207999999997,275.32824,275.88,CLOSED
FL_195900,Flash_Vol_Breakout,LONG,2025-07-06 19:59:00,276.49,2025-07-06 20:47:00,277.79,0.004701797533364719,SL_FLASH,278.70192000000003,278.00288,278.56,CLOSED
FL_211400,Flash_Vol_Breakout,LONG,2025-07-06 21:14:00,278.81,2025-07-06 21:27:00,281.49,0.00961228076467848,TP_FLASH,281.04048,280.40806000000003,281.49,CLOSED
FL_213000,Flash_Vol_Breakout,LONG,2025-07-06 21:30:00,283.89,2025-07-06 21:35:00,286.41,0.008876677586389232,TP_FLASH,286.16112,282.75444,286.41,CLOSED
FL_220100,Flash_Vol_Breakout,LONG,2025-07-06 22:01:00,290.92,2025-07-06 22:05:00,289.12,-0.006187267977450885,SL_FLASH,293.24736,289.75632,290.92,CLOSED
FL_230100,Flash_Vol_Breakout,SHORT,2025-07-06 23:01:00,286.25,2025-07-06 23:38:00,285.56,0.00241048034934497,SL_FLASH,283.96,285.069,284.5,CLOSED
FL_032600,Flash_Vol_Breakout,LONG,2025-07-07 03:26:00,288.93,2025-07-07 03:31:00,287.69,-0.004291696950818569,SL_FLASH,291.24144,287.77428000000003,288.93,CLOSED
FL_100000,Flash_Vol_Breakout,SHORT,2025-07-07 10:00:00,286.26,2025-07-07 10:34:00,287.52,-0.0044015929574512365,SL_FLASH,283.96992,287.40504,286.26,CLOSED
FL_131500,Flash_Vol_Breakout,SHORT,2025-07-07 13:15:00,285.64,2025-07-07 13:23:00,286.8,-0.004061055874527465,SL_FLASH,283.35488,286.78256,285.08,CLOSED
FL_165000,Flash_Vol_Breakout,SHORT,2025-07-07 16:50:00,282.2,2025-07-07 16:52:00,283.48,-0.004535790219702443,SL_FLASH,279.94239999999996,283.3288,282.2,CLOSED
FL_181600,Flash_Vol_Breakout,SHORT,2025-07-07 18:16:00,280.53,2025-07-07 18:59:00,281.91,-0.004919259972195674,SL_FLASH,278.28576,281.65211999999997,279.2,CLOSED
FL_194500,Flash_Vol_Breakout,SHORT,2025-07-07 19:45:00,281.38,2025-07-07 20:12:00,278.72,0.009453408202430763,TP_FLASH,279.12896,279.69828,278.72,CLOSED
FL_212100,Flash_Vol_Breakout,SHORT,2025-07-07 21:21:00,277.83,2025-07-07 21:38:00,279.19,-0.004895079725011747,SL_FLASH,275.60735999999997,278.94131999999996,277.46,CLOSED
FL_002600,Flash_Vol_Breakout,LONG,2025-07-08 00:26:00,284.17,2025-07-08 00:49:00,281.87,-0.008093746700918504,SL_FLASH,286.44336000000004,283.03332,284.6,CLOSED
FL_015200,Flash_Vol_Breakout,SHORT,2025-07-08 01:52:00,279.03,2025-07-08 02:55:00,278.13,0.0032254596279969083,SL_FLASH,276.79776,277.98486,277.43,CLOSED
FL_054500,Flash_Vol_Breakout,LONG,2025-07-08 05:45:00,281.73,2025-07-08 06:27:00,280.58,-0.004081922407979392,SL_FLASH,283.98384000000004,280.60308000000003,282.78,CLOSED
FL_071500,Flash_Vol_Breakout,SHORT,2025-07-08 07:15:00,279.98,2025-07-08 07:32:00,281.34,-0.004857489820701324,SL_FLASH,277.74016,281.09992,279.96,CLOSED
FL_101600,Flash_Vol_Breakout,LONG,2025-07-08 10:16:00,282.35,2025-07-08 11:17:00,284.68,0.008252169293430082,TP_FLASH,284.60880000000003,283.9809,284.68,CLOSED
FL_114800,Flash_Vol_Breakout,LONG,2025-07-08 11:48:00,286.66,2025-07-08 12:00:00,289.07,0.008407172259819884,TP_FLASH,288.95328,287.61361999999997,289.07,CLOSED
FL_160400,Flash_Vol_Breakout,LONG,2025-07-08 16:04:00,286.24,2025-07-08 16:08:00,284.94,-0.004541643376187854,SL_FLASH,288.52992,285.09504,286.24,CLOSED
FL_170500,Flash_Vol_Breakout,LONG,2025-07-08 17:05:00,288.16,2025-07-08 17:12:00,291.79,0.012597168239866724,TP_FLASH,290.46528,289.59964,291.79,CLOSED
FL_171300,Flash_Vol_Breakout,LONG,2025-07-08 17:13:00,293.49,2025-07-08 17:18:00,292.26,-0.004190943473372238,SL_FLASH,295.83792,292.31604,293.97,CLOSED
FL_233100,Flash_Vol_Breakout,SHORT,2025-07-08 23:31:00,291.98,2025-07-08 23:45:00,293.25,-0.004349612987190841,SL_FLASH,289.64416,293.14792,291.98,CLOSED
FL_005500,Flash_Vol_Breakout,LONG,2025-07-09 00:55:00,293.89,2025-07-09 01:25:00,292.52,-0.004661608084657541,SL_FLASH,296.24111999999997,292.71443999999997,294.61,CLOSED
FL_053500,Flash_Vol_Breakout,LONG,2025-07-09 05:35:00,296.97,2025-07-09 05:38:00,299.79,0.009495908677644183,TP_FLASH,299.34576000000004,298.22236,299.79,CLOSED
FL_053900,Flash_Vol_Breakout,LONG,2025-07-09 05:39:00,302.02,2025-07-09 05:42:00,300.48,-0.00509900006622066,SL_FLASH,304.43616,300.81192,302.02,CLOSED
FL_080100,Flash_Vol_Breakout,SHORT,2025-07-09 08:01:00,298.32,2025-07-09 08:07:00,299.57,-0.004190131402520783,SL_FLASH,295.93344,299.51328,298.32,CLOSED
FL_112400,Flash_Vol_Breakout,SHORT,2025-07-09 11:24:00,297.5,2025-07-09 11:51:00,298.99,-0.005008403361344569,SL_FLASH,295.12,298.69,297.16,CLOSED
