Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,status
SN_030718,Sniper_1H_1m,LONG,2025-04-03 07:18:00,152.11,2025-04-03 10:39:00,151.02,-0.0071658668069160695,SL_SNIPER,NearLevel:153.29|Dist:0.0004,154.84798,151.19734000000003,152.11,CLOSED
SN_031100,Sniper_1H_1m,LONG,2025-04-03 11:00:00,150.51,2025-04-03 12:27:00,149.39,-0.007441366022191248,SL_SNIPER,NearLevel:151.06|Dist:0.0023,153.21918,149.60693999999998,150.51,CLOSED
SN_031602,Sniper_1H_1m,SHORT,2025-04-03 16:02:00,150.6,2025-04-03 21:02:00,151.8,-0.007968127490039955,SL_SNIPER,NearLevel:148.81|Dist:0.0020,147.8892,151.5036,150.6,CLOSED
SN_032211,Sniper_1H_1m,LONG,2025-04-03 22:11:00,150.71,2025-04-04 00:53:00,149.8,-0.006038086391082188,SL_SNIPER,NearLevel:151.06|Dist:0.0013,153.42278000000002,149.80574000000001,150.71,CLOSED
SN_040054,Sniper_1H_1m,LONG,2025-04-04 00:54:00,149.82,2025-04-04 01:51:00,148.89,-0.0062074489387265175,SL_SNIPER,NearLevel:149.38|Dist:0.0022,152.51676,148.92108,149.82,CLOSED
SN_040211,Sniper_1H_1m,SHORT,2025-04-04 02:11:00,149.11,2025-04-04 05:36:00,150.04,-0.006237006237006092,SL_SNIPER,NearLevel:148.44|Dist:0.0023,146.42602000000002,150.00466,149.11,CLOSED
SN_040537,Sniper_1H_1m,SHORT,2025-04-04 05:37:00,150.23,2025-04-04 07:09:00,151.2,-0.006456766291686074,SL_SNIPER,NearLevel:149.86|Dist:0.0013,147.52586,151.13137999999998,150.23,CLOSED
SN_040710,Sniper_1H_1m,SHORT,2025-04-04 07:10:00,151.15,2025-04-04 07:49:00,152.07,-0.006086668871981392,SL_SNIPER,NearLevel:151.40|Dist:0.0026,148.4293,152.0569,151.15,CLOSED
SN_041302,Sniper_1H_1m,SHORT,2025-04-04 13:02:00,148.09,2025-04-04 13:56:00,149.32,-0.00830576001080417,SL_SNIPER,NearLevel:149.06|Dist:0.0011,145.42438,148.97854,148.09,CLOSED
SN_041412,Sniper_1H_1m,LONG,2025-04-04 14:12:00,147.31,2025-04-04 14:50:00,146.42,-0.006041680809178025,SL_SNIPER,NearLevel:147.93|Dist:0.0012,149.96158,146.42614,147.31,CLOSED
SN_041503,Sniper_1H_1m,SHORT,2025-04-04 15:03:00,149.54,2025-04-04 15:12:00,150.61,-0.007155276180286356,SL_SNIPER,NearLevel:149.06|Dist:0.0023,146.84828,150.43724,149.54,CLOSED
SN_041513,Sniper_1H_1m,SHORT,2025-04-04 15:13:00,151.07,2025-04-04 16:53:00,152.09,-0.006751836896802875,SL_SNIPER,NearLevel:149.06|Dist:0.0023,148.35074,151.97642,151.07,CLOSED
SN_041837,Sniper_1H_1m,LONG,2025-04-04 18:37:00,150.46,2025-04-04 21:38:00,153.45,0.019872391333244588,TP_SNIPER,NearLevel:150.19|Dist:0.0015,153.16828,149.55724,150.46,CLOSED
