Grid_ID,Side,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Qty_Closed,PnL_USD,PnL_Pct,Reason,Entry_RSI,Entry_ADX,Entry_BBW,System_Load_Entry,System_Load_Exit,MAE_Pct,Duration_Min
G_1738287900,SHORT,2025-01-31 01:45:00,2025-01-31 02:15:00,320.38,317.268,0.1,0.31,0.97,TP_MAIN_MID,65.67,12.66,0.0195,9,10,-0.16,30
G_1738287900,SHORT,2025-01-31 01:45:00,2025-01-31 06:45:00,320.38,320.38,0.1,0.0,0.0,RUNNER_BE,65.67,12.66,0.0195,9,10,-0.55,300
G_1738306800,SHORT,2025-01-31 07:00:00,2025-01-31 08:15:00,323.44,317.84350000000006,0.1,0.56,1.73,TP_MAIN_MID,74.41,15.94,0.0297,9,10,-0.6,75
G_1738306800,SHORT,2025-01-31 07:00:00,2025-01-31 11:15:00,323.44,323.44,0.1,0.0,0.0,RUNNER_BE,74.41,15.94,0.0297,9,10,-1.19,255
G_1737905400,SHORT,2025-01-26 15:30:00,2025-01-31 12:45:00,329.07,329.07,0.1,0.0,0.0,RUNNER_BE,61.0,11.33,0.0089,9,10,-1.64,7035
G_1737929700,LONG,2025-01-26 22:15:00,2025-01-31 14:30:00,324.31,324.733,0.1,0.04,0.13,TP_MAIN_MID,17.41,32.45,0.0418,9,10,-13.4,6735
G_1737694800,SHORT,2025-01-24 05:00:00,2025-01-31 15:30:00,339.23,339.23,0.1,0.0,0.0,RUNNER_BE,67.29,10.27,0.0272,9,10,-5.4,10710
G_1737865800,SHORT,2025-01-26 04:30:00,2025-01-31 15:30:00,336.0,336.0,0.1,0.0,0.0,RUNNER_BE,72.99,19.37,0.0311,9,10,-2.07,7860
G_1737698400,SHORT,2025-01-24 06:00:00,2025-01-31 16:00:00,346.29,346.29,0.1,0.0,0.0,RUNNER_BE,75.48,18.27,0.0637,9,9,-3.25,10680
G_1738338300,SHORT,2025-01-31 15:45:00,2025-01-31 18:15:00,338.37,336.14649999999995,0.1,0.22,0.66,TP_MAIN_MID,72.1,36.92,0.0425,8,10,-3.21,150
G_1738339200,SHORT,2025-01-31 16:00:00,2025-01-31 18:15:00,343.99,336.14649999999995,0.1,0.78,2.28,TP_MAIN_MID,78.69,39.68,0.0532,9,10,-0.79,135
G_1738341900,SHORT,2025-01-31 16:45:00,2025-01-31 18:15:00,346.36,336.14649999999995,0.1,1.02,2.95,TP_MAIN_MID,80.33,46.94,0.075,9,10,-0.1,90
G_1738338300,SHORT,2025-01-31 15:45:00,2025-01-31 19:30:00,338.37,338.37,0.1,0.0,0.0,RUNNER_BE,72.1,36.92,0.0425,8,10,-3.21,225
G_1738328400,SHORT,2025-01-31 13:00:00,2025-02-01 04:15:00,330.01,329.918,0.1,0.01,0.03,TP_MAIN_MID,76.98,27.88,0.057,9,10,-5.82,915
G_1737929700,LONG,2025-01-26 22:15:00,2025-02-01 05:30:00,324.31,324.31,0.1,0.0,0.0,RUNNER_BE,17.41,32.45,0.0418,9,10,-13.4,7635
G_1738323000,SHORT,2025-01-31 11:30:00,2025-02-01 06:30:00,327.22,327.076,0.1,0.01,0.04,TP_MAIN_MID,70.4,17.19,0.0377,9,9,-6.73,1140
G_1737940500,LONG,2025-01-27 01:15:00,2025-02-01 11:00:00,308.58,308.58,0.1,0.0,0.0,RUNNER_BE,20.97,47.84,0.0749,9,10,-8.99,7785
G_1738408500,LONG,2025-02-01 11:15:00,2025-02-01 12:45:00,313.83,317.6665,0.1,0.38,1.22,TP_MAIN_MID,20.63,42.7,0.039,9,10,-0.35,90
G_1738408500,LONG,2025-02-01 11:15:00,2025-02-01 13:45:00,313.83,313.83,0.1,0.0,0.0,RUNNER_BE,20.63,42.7,0.039,9,10,-0.35,150
G_1738422000,LONG,2025-02-01 15:00:00,2025-02-01 15:30:00,312.41,314.96500000000003,0.1,0.26,0.82,TP_MAIN_MID,46.1,43.55,0.0217,9,10,-0.44,30
