Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Mode,status,Peak_Price,Rem_Qty,SL,TP_Target
ECO_102100,GAMMA,SHORT,2025-10-10 21:00:00,226.02,2025-10-10 21:30:00,207.87,0.0803026280860101,SL_HIT,GAMMA_HEDGE,CLOSED,226.02,1.0,168.7395,218.1093
ECO_110845,GAMMA,SHORT,2025-10-11 08:45:00,238.55,2025-10-11 10:15:00,244.15,-0.02347516243974007,SL_HIT,GAMMA_NORMAL,CLOSED,238.55,1.0,243.32100000000003,230.20075
ECO_111930,GAMMA,SHORT,2025-10-11 19:30:00,231.65,2025-10-11 21:15:00,228.63,0.013036909130153292,SL_HIT,GAMMA_HEDGE,CLOSED,231.65,1.0,225.60239999999996,223.54225
ECO_111945,GAMMA,SHORT,2025-10-11 19:45:00,231.39,2025-10-11 21:15:00,228.63,0.011927913911577817,SL_HIT,GAMMA_HEDGE,CLOSED,231.39,1.0,225.60239999999996,223.29134999999997
ECO_112115,GAMMA,LONG,2025-10-11 21:15:00,228.63,2025-10-12 00:00:00,233.05,0.01933254603507858,SL_HIT,GAMMA_NORMAL,CLOSED,228.63,1.0,233.2081,236.63204999999996
ECO_112130,GAMMA,LONG,2025-10-11 21:30:00,228.27,2025-10-12 00:00:00,233.05,0.020940114776361332,SL_HIT,GAMMA_NORMAL,CLOSED,228.27,1.0,233.2081,236.25945
ECO_120000,GAMMA,SHORT,2025-10-12 00:00:00,233.05,2025-10-12 01:00:00,229.47,0.015361510405492437,SL_HIT,GAMMA_NORMAL,CLOSED,233.05,1.0,229.46159999999998,224.89325
ECO_120030,GAMMA,SHORT,2025-10-12 00:30:00,230.79,2025-10-12 02:15:00,228.37,0.01048572295160097,SL_HIT,GAMMA_NORMAL,CLOSED,230.79,1.0,227.69279999999998,222.71235
ECO_120245,GAMMA,LONG,2025-10-12 02:45:00,226.62,2025-10-12 03:45:00,229.48,0.01262024534462971,SL_HIT,GAMMA_NORMAL,CLOSED,226.62,1.0,229.8052,234.55169999999998
ECO_120530,GAMMA,SHORT,2025-10-12 05:30:00,232.49,2025-10-12 11:00:00,230.2,0.009849886016602952,SL_HIT,GAMMA_NORMAL,CLOSED,232.49,1.0,229.96409999999997,224.35285
ECO_120600,GAMMA,SHORT,2025-10-12 06:00:00,232.48,2025-10-12 11:00:00,230.2,0.00980729525120441,SL_HIT,GAMMA_NORMAL,CLOSED,232.48,1.0,229.96409999999997,224.3432
ECO_121130,GAMMA,LONG,2025-10-12 11:30:00,229.47,2025-10-12 13:15:00,230.5,0.004488604174837674,SL_HIT,GAMMA_NORMAL,CLOSED,229.47,1.0,232.34244999999999,237.50144999999998
ECO_121145,GAMMA,LONG,2025-10-12 11:45:00,229.3,2025-10-12 13:15:00,230.5,0.005233318796336627,SL_HIT,GAMMA_NORMAL,CLOSED,229.3,1.0,232.34244999999999,237.3255
ECO_121915,GAMMA,SHORT,2025-10-12 19:15:00,256.07,2025-10-12 21:45:00,252.53,0.01382434490568982,SL_HIT,GAMMA_NORMAL,CLOSED,256.07,1.0,252.18464999999998,247.10754999999997
ECO_121900,GAMMA,SHORT,2025-10-12 19:00:00,254.53,2025-10-13 01:15:00,249.09,0.02137272620123364,SL_HIT,GAMMA_NORMAL,CLOSED,254.53,1.0,248.84805,245.62144999999998
ECO_130030,GAMMA,LONG,2025-10-13 00:30:00,248.8,2025-10-13 07:45:00,252.85,0.016278135048231442,SL_HIT,GAMMA_NORMAL,CLOSED,248.8,1.0,253.31705,257.508
ECO_130700,GAMMA,SHORT,2025-10-13 07:00:00,253.34,2025-10-13 11:30:00,248.64,0.018552143364648367,SL_HIT,GAMMA_NORMAL,CLOSED,253.34,1.0,245.47124999999997,244.4731
ECO_130745,GAMMA,SHORT,2025-10-13 07:45:00,252.85,2025-10-13 11:30:00,248.64,0.01665018785841411,SL_HIT,GAMMA_NORMAL,CLOSED,252.85,1.0,245.47124999999997,244.00025
ECO_140230,GAMMA,LONG,2025-10-14 02:30:00,257.75,2025-10-14 04:30:00,251.72,-0.02339476236663434,SL_HIT,GAMMA_NORMAL,CLOSED,257.75,1.0,252.595,266.77124999999995
ECO_131745,GAMMA,SHORT,2025-10-13 17:45:00,257.72,2025-10-14 05:00:00,252.72,0.01940090020176947,SL_HIT,GAMMA_NORMAL,CLOSED,257.72,1.0,252.00374999999997,248.6998
ECO_140500,GAMMA,LONG,2025-10-14 05:00:00,252.72,2025-10-14 06:15:00,246.89,-0.02306900918012034,SL_HIT,GAMMA_NORMAL,CLOSED,252.72,1.0,247.66559999999998,261.5652
ECO_140430,GAMMA,LONG,2025-10-14 04:30:00,251.72,2025-10-14 06:30:00,243.12,-0.03416494517718097,SL_HIT,GAMMA_NORMAL,CLOSED,251.72,1.0,246.6856,260.5302
ECO_140615,GAMMA,LONG,2025-10-14 06:15:00,246.89,2025-10-14 10:15:00,241.66,-0.021183523026448985,SL_HIT,GAMMA_NORMAL,CLOSED,246.89,1.0,241.95219999999998,255.53114999999997
ECO_140630,GAMMA,LONG,2025-10-14 06:30:00,243.12,2025-10-14 16:45:00,251.08,0.03274103323461668,SL_HIT,GAMMA_NORMAL,CLOSED,243.12,1.0,251.20765,251.6292
ECO_141645,GAMMA,SHORT,2025-10-14 16:45:00,251.08,2025-10-14 23:15:00,256.19,-0.02035207901863942,SL_HIT,GAMMA_NORMAL,CLOSED,251.08,1.0,256.1016,242.2922
ECO_141545,GAMMA,SHORT,2025-10-14 15:45:00,251.2,2025-10-15 02:15:00,256.31,-0.020342356687898144,SL_HIT,GAMMA_NORMAL,CLOSED,251.2,1.0,256.224,242.408
ECO_150830,GAMMA,SHORT,2025-10-15 08:30:00,260.48,2025-10-15 14:00:00,250.49,0.03835227272727276,SL_HIT,GAMMA_NORMAL,CLOSED,260.48,1.0,249.83294999999998,251.3632
ECO_151145,GAMMA,LONG,2025-10-15 11:45:00,253.57,2025-10-15 14:30:00,247.2,-0.025121268288835447,SL_HIT,GAMMA_NORMAL,CLOSED,253.57,1.0,248.49859999999998,262.44494999999995
ECO_151430,GAMMA,LONG,2025-10-15 14:30:00,247.2,2025-10-15 17:00:00,240.54,-0.026941747572815523,SL_HIT,GAMMA_NORMAL,CLOSED,247.2,1.0,242.2626,255.85199999999998
ECO_151445,GAMMA,LONG,2025-10-15 14:45:00,245.92,2025-10-15 17:00:00,240.54,-0.02187703318152243,SL_HIT,GAMMA_NORMAL,CLOSED,245.92,1.0,241.0016,254.52719999999997
ECO_151700,GAMMA,LONG,2025-10-15 17:00:00,240.54,2025-10-16 13:45:00,242.4,0.007732601646295891,SL_HIT,GAMMA_NORMAL,CLOSED,240.54,1.0,243.2576,248.95889999999997
ECO_151715,GAMMA,LONG,2025-10-15 17:15:00,239.99,2025-10-16 13:45:00,242.4,0.010042085086878606,SL_HIT,GAMMA_NORMAL,CLOSED,239.99,1.0,243.2576,248.38965
ECO_161415,GAMMA,LONG,2025-10-16 14:15:00,239.85,2025-10-16 14:45:00,241.25,0.005836981446737568,SL_HIT,GAMMA_NORMAL,CLOSED,239.85,1.0,242.7601,248.24474999999998
ECO_161600,GAMMA,LONG,2025-10-16 16:00:00,236.05,2025-10-16 17:00:00,237.12,0.004532937936877751,SL_HIT,GAMMA_NORMAL,CLOSED,236.05,1.0,238.6209,244.31175
ECO_161615,GAMMA,LONG,2025-10-16 16:15:00,235.14,2025-10-16 17:00:00,237.12,0.008420515437611714,SL_HIT,GAMMA_NORMAL,CLOSED,235.14,1.0,238.6209,243.36989999999997
ECO_162045,GAMMA,SHORT,2025-10-16 20:45:00,228.79,2025-10-16 23:00:00,224.37,0.01931902618121416,SL_HIT,GAMMA_HEDGE,CLOSED,228.79,1.0,223.67279999999997,220.78234999999998
ECO_162100,GAMMA,SHORT,2025-10-16 21:00:00,228.9,2025-10-16 23:00:00,224.37,0.019790301441677594,SL_HIT,GAMMA_HEDGE,CLOSED,228.9,1.0,223.67279999999997,220.8885
