Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,status
TH_040115,Gamma_Hybrid,LONG,2025-01-04 01:15:00,343.57,2025-01-06 00:45:00,337.17,-0.018627936082894248,SL_ATR_DYNAMIC,RSI_Reversal,380.6,338.0092857142857,359.29,CLOSED
TH_060500,Gamma_Hybrid,SHORT,2025-01-06 05:00:00,346.15,2025-01-06 16:00:00,354.3,-0.02354470605228957,SL_ATR_DYNAMIC,RSI_Reversal,327.26,354.1792857142857,336.89,CLOSED
TH_062315,Gamma_Hybrid,LONG,2025-01-06 23:15:00,339.25,2025-01-07 10:00:00,333.19,-0.017862932940309512,SL_ATR_DYNAMIC,RSI_Reversal,367.13,333.4407142857143,342.15,CLOSED
TH_071545,Gamma_Hybrid,LONG,2025-01-07 15:45:00,315.71,2025-01-08 03:45:00,302.37,-0.04225396724842411,SL_ATR_DYNAMIC,RSI_Reversal,366.93,302.98999999999995,317.68,CLOSED
TH_080500,Gamma_Hybrid,LONG,2025-01-08 05:00:00,301.43,2025-01-08 05:15:00,301.92,0.0016255847128686894,TP_FIBONACCI_EXT,RSI_Reversal,297.54,294.1485714285714,301.92,CLOSED
TH_080600,Gamma_Hybrid,LONG,2025-01-08 06:00:00,300.41,2025-01-08 06:45:00,291.97,-0.02809493691954328,SL_ATR_DYNAMIC,RSI_Reversal,297.54,292.93142857142857,300.41,CLOSED
TH_081730,Gamma_Hybrid,LONG,2025-01-08 17:30:00,280.57,2025-01-13 08:45:00,269.28,-0.04023951242114275,SL_ATR_DYNAMIC,RSI_Reversal,335.14,270.1385714285714,300.11,CLOSED
TH_130945,Gamma_Hybrid,LONG,2025-01-13 09:45:00,267.63,2025-01-13 11:15:00,259.09,-0.031909726114411764,SL_ATR_DYNAMIC,RSI_Reversal,304.37,260.05285714285714,267.63,CLOSED
TH_131200,Gamma_Hybrid,LONG,2025-01-13 12:00:00,261.75,2025-01-15 19:45:00,322.08,0.2304871060171919,TP_FIBONACCI_EXT,RSI_Reversal,321.88,253.02857142857144,322.08,CLOSED
TH_160330,Gamma_Hybrid,LONG,2025-01-16 03:30:00,311.41,2025-01-19 08:15:00,301.89,-0.030570630358691238,SL_ATR_DYNAMIC,RSI_Reversal,347.38,305.26428571428573,339.6,CLOSED
TH_190930,Gamma_Hybrid,LONG,2025-01-19 09:30:00,301.44,2025-01-19 15:00:00,337.88,0.12088641188959659,TP_FIBONACCI_EXT,RSI_Reversal,337.72,291.58714285714285,337.88,CLOSED
TH_191515,Gamma_Hybrid,SHORT,2025-01-19 15:15:00,328.83,2025-01-20 07:00:00,353.28,-0.07435452969619558,SL_ATR_DYNAMIC,RSI_Reversal,271.51,349.33071428571424,299.12,CLOSED
TH_200730,Gamma_Hybrid,SHORT,2025-01-20 07:30:00,352.62,2025-01-21 19:15:00,376.51,-0.06774998582042989,SL_ATR_DYNAMIC,RSI_Reversal,264.28,376.4314285714286,321.73,CLOSED
TH_220745,Gamma_Hybrid,LONG,2025-01-22 07:45:00,356.94,2025-01-22 16:30:00,350.49,-0.018070263909900793,SL_ATR_DYNAMIC,RSI_Reversal,410.65,350.64642857142854,364.8,CLOSED
TH_230215,Gamma_Hybrid,LONG,2025-01-23 02:15:00,337.28,2025-01-23 19:45:00,328.9,-0.02484582542694496,SL_ATR_DYNAMIC,RSI_Reversal,373.17,329.9921428571428,344.07,CLOSED
TH_240300,Gamma_Hybrid,LONG,2025-01-24 03:00:00,330.54,2025-01-26 23:00:00,320.62,-0.03001149633932358,SL_ATR_DYNAMIC,RSI_Reversal,360.24,321.4821428571429,354.01,CLOSED
TH_270000,Gamma_Hybrid,LONG,2025-01-27 00:00:00,317.35,2025-01-27 01:00:00,307.42,-0.031290373404758175,SL_ATR_DYNAMIC,RSI_Reversal,340.61,307.9728571428572,317.35,CLOSED
TH_270115,Gamma_Hybrid,LONG,2025-01-27 01:15:00,308.49,2025-01-27 06:30:00,297.13,-0.03682453239975368,SL_ATR_DYNAMIC,RSI_Reversal,340.61,297.34285714285716,308.49,CLOSED
TH_280830,Gamma_Hybrid,LONG,2025-01-28 08:30:00,300.12,2025-01-28 16:30:00,293.94,-0.02059176329468215,SL_ATR_DYNAMIC,RSI_Reversal,322.15,293.97857142857146,301.05,CLOSED
TH_281915,Gamma_Hybrid,LONG,2025-01-28 19:15:00,289.63,2025-01-28 22:15:00,282.14,-0.025860580740945376,SL_ATR_DYNAMIC,RSI_Reversal,322.15,282.2864285714286,292.09,CLOSED
TH_290445,Gamma_Hybrid,SHORT,2025-01-29 04:45:00,293.84,2025-01-30 04:15:00,301.16,-0.024911516471549315,SL_ATR_DYNAMIC,RSI_Reversal,261.18,300.4678571428571,283.75,CLOSED
TH_301100,Gamma_Hybrid,SHORT,2025-01-30 11:00:00,307.43,2025-01-30 13:45:00,314.53,-0.023094688221708896,SL_ATR_DYNAMIC,RSI_Reversal,271.63,313.4321428571428,305.65,CLOSED
TH_311315,Gamma_Hybrid,SHORT,2025-01-31 13:15:00,328.37,2025-01-31 15:45:00,338.18,-0.02987483631269605,SL_ATR_DYNAMIC,RSI_Reversal,306.13,337.5178571428571,326.03,CLOSED
TH_311615,Gamma_Hybrid,SHORT,2025-01-31 16:15:00,343.04,2025-02-02 00:15:00,301.06,0.1223763992537314,TRAILING_STOP_SMART,RSI_Reversal,289.51,356.675,295.95,CLOSED
TH_020400,Gamma_Hybrid,LONG,2025-02-02 04:00:00,290.82,2025-02-02 16:15:00,280.58,-0.03521078330238639,SL_ATR_DYNAMIC,RSI_Reversal,337.73,281.42785714285714,296.07,CLOSED
TH_021800,Gamma_Hybrid,LONG,2025-02-02 18:00:00,266.67,2025-02-02 22:30:00,253.08,-0.0509618629767128,SL_ATR_DYNAMIC,RSI_Reversal,337.73,255.1971428571429,270.29,CLOSED
TH_030200,Gamma_Hybrid,LONG,2025-02-03 02:00:00,219.06,2025-02-28 03:45:00,186.83,-0.147128640555099,SL_ATR_DYNAMIC,RSI_Reversal,396.68,187.4335714285714,284.59,CLOSED
TH_280415,Gamma_Hybrid,LONG,2025-02-28 04:15:00,185.83,2025-03-02 16:30:00,218.89,0.17790453640424028,TP_FIBONACCI_EXT,RSI_Reversal,212.09,175.70714285714288,218.89,CLOSED
TH_021745,Gamma_Hybrid,SHORT,2025-03-02 17:45:00,221.81,2025-03-03 19:45:00,181.58,0.18137144402867314,TP_FIBONACCI_EXT,RSI_Reversal,185.7,238.7664285714286,181.58,CLOSED
TH_032000,Gamma_Hybrid,LONG,2025-03-03 20:00:00,182.62,2025-03-04 01:30:00,171.56,-0.0605629175336765,SL_ATR_DYNAMIC,RSI_Reversal,226.47,173.67357142857142,183.51,CLOSED
TH_040230,Gamma_Hybrid,LONG,2025-03-04 02:30:00,171.42,2025-03-05 23:15:00,220.7,0.2874810407187026,TRAILING_STOP_SMART,RSI_Reversal,240.44,162.51428571428568,223.98,CLOSED
TH_060930,Gamma_Hybrid,LONG,2025-03-06 09:30:00,227.04,2025-03-06 12:45:00,221.1,-0.02616279069767441,SL_ATR_DYNAMIC,RSI_Reversal,256.59,221.52428571428572,229.56,CLOSED
