Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,SL,Peak_Price,status,Rem_Qty,TP1_Hit,TP2_Hit
FL_1518,Flash_Reversal,SHORT,2025-04-01 15:18:00,170.13,2025-04-01 15:38:00,170.3,-0.0009992358784459878,SL_HIT,170.13,170.13,CLOSED,0.4,True,False
FL_0732,Flash_Reversal,SHORT,2025-04-02 07:32:00,160.38,2025-04-02 07:53:00,159.53,0.00529991270732008,SL_HIT,159.35279999999997,158.56,CLOSED,0.2,True,True
FL_1346,Flash_Reversal,SHORT,2025-04-02 13:46:00,159.7,2025-04-02 14:00:00,159.27,0.0026925485284907853,SL_HIT,159.06135,158.27,CLOSED,0.2,True,True
FL_1534,Flash_Reversal,SHORT,2025-04-02 15:34:00,163.0,2025-04-02 15:52:00,163.5,-0.003067484662576687,SL_HIT,163.0,163.0,CLOSED,0.4,True,False
FL_1733,Flash_Reversal,LONG,2025-04-02 17:33:00,162.25,2025-04-02 17:55:00,162.24,-6.163328197220897e-05,SL_HIT,162.25,162.25,CLOSED,0.4,True,False
FL_2014,Flash_Reversal,SHORT,2025-04-02 20:14:00,166.35,2025-04-02 20:47:00,159.66,0.04021641118124435,SL_HIT,159.54375,158.75,CLOSED,0.2,True,True
FL_2206,Flash_Reversal,LONG,2025-04-02 22:06:00,155.0,2025-04-02 22:33:00,152.51,-0.016064516129032317,SL_HIT,152.675,155.0,CLOSED,1.0,False,False
FL_1247,Flash_Reversal,LONG,2025-04-03 12:47:00,146.86,2025-04-03 13:13:00,146.47,-0.0026555903581643382,SL_HIT,146.86,146.86,CLOSED,0.4,True,False
FL_1333,Flash_Reversal,SHORT,2025-04-03 13:33:00,149.57,2025-04-03 13:50:00,148.84,0.0048806578859396255,SL_HIT,148.643,148.17,CLOSED,0.2,True,True
FL_1850,Flash_Reversal,SHORT,2025-04-03 18:50:00,151.33,2025-04-03 19:44:00,150.5,0.005484702306218281,SL_HIT,150.49874999999997,149.75,CLOSED,0.2,True,True
