Trade_ID,Side,Entry_Time,PnL_Pct,Wait_Time_Min,Exit_Reason,Max_Drawdown
TRD_202507171340_DIR,SHORT,2025-07-17 13:40:00,-2.5,0.0,STOP_LOSS,-5.0
TRD_202507201200_DIR,LONG,2025-07-20 12:00:00,-2.5,0.0,STOP_LOSS,-5.38
TRD_202507211109_DIR,LONG,2025-07-21 11:09:00,4.62,0.0,TRAILING_WIN,-5.07
TRD_202507211146_DIR,LONG,2025-07-21 11:46:00,-2.5,0.0,STOP_LOSS,-3.52
TRD_202507211149_DIR,LONG,2025-07-21 11:49:00,8.09,0.0,TRAILING_WIN,-5.38
TRD_202507251630_DIR,LONG,2025-07-25 16:30:00,5.28,0.0,TRAILING_WIN,-3.56
TRD_202507281810_DIR,LONG,2025-07-28 18:10:00,3.03,0.0,TRAILING_WIN,0.0
TRD_202507281819,LONG,2025-07-28 18:19:00,2.68,11.0,TRAILING_WIN,0.0
TRD_202508011400_DIR,SHORT,2025-08-01 14:00:00,-2.5,0.0,STOP_LOSS,-11.55
TRD_202508011403_DIR,SHORT,2025-08-01 14:03:00,9.46,0.0,TRAILING_WIN,0.0
TRD_202508020315_DIR,SHORT,2025-08-02 03:15:00,-2.5,0.0,STOP_LOSS,0.0
TRD_202508020902_DIR,SHORT,2025-08-02 09:02:00,-2.5,0.0,STOP_LOSS,-8.04
TRD_202508021824_DIR,SHORT,2025-08-02 18:24:00,-2.5,0.0,STOP_LOSS,-10.87
TRD_202508121040_DIR,LONG,2025-08-12 10:40:00,1.41,0.0,TRAILING_WIN,-2.39
TRD_202508122023_DIR,SHORT,2025-08-12 20:23:00,-2.5,0.0,STOP_LOSS,-2.2
TRD_202508130009_DIR,SHORT,2025-08-13 00:09:00,-2.5,0.0,STOP_LOSS,-0.91
TRD_202508141445_DIR,LONG,2025-08-14 14:45:00,-2.5,0.0,STOP_LOSS,-4.47
TRD_202508141727_DIR,LONG,2025-08-14 17:27:00,3.63,0.0,TRAILING_WIN,-0.07
TRD_202508151120_DIR,LONG,2025-08-15 11:20:00,-2.5,0.0,STOP_LOSS,-2.93
TRD_202508151501_DIR,LONG,2025-08-15 15:01:00,-2.5,0.0,STOP_LOSS,-0.4
TRD_202508151522_DIR,LONG,2025-08-15 15:22:00,-2.5,0.0,STOP_LOSS,-0.41
TRD_202508151535_DIR,LONG,2025-08-15 15:35:00,-2.5,0.0,STOP_LOSS,-0.87
TRD_202508151543_DIR,LONG,2025-08-15 15:43:00,1.3,0.0,TRAILING_WIN,-2.47
TRD_202508151845_DIR,LONG,2025-08-15 18:45:00,-2.5,0.0,STOP_LOSS,-3.2
TRD_202508151857_DIR,LONG,2025-08-15 18:57:00,2.67,0.0,TRAILING_WIN,0.0
TRD_202508151920_DIR,LONG,2025-08-15 19:20:00,-2.5,0.0,STOP_LOSS,-0.02
TRD_202508151921_DIR,LONG,2025-08-15 19:21:00,-2.5,0.0,STOP_LOSS,-3.6
TRD_202508151924_DIR,LONG,2025-08-15 19:24:00,3.03,0.0,TRAILING_WIN,0.0
TRD_202508160649,LONG,2025-08-16 06:49:00,-2.5,19.0,STOP_LOSS,-1.44
TRD_202508161240_DIR,LONG,2025-08-16 12:40:00,-2.5,0.0,STOP_LOSS,-2.31
TRD_202508162315_DIR,SHORT,2025-08-16 23:15:00,-2.5,0.0,STOP_LOSS,-5.7
TRD_202508162318_DIR,SHORT,2025-08-16 23:18:00,3.02,0.0,TRAILING_WIN,-4.06
TRD_202508170856,SHORT,2025-08-17 08:56:00,-2.5,56.0,STOP_LOSS,0.0
TRD_202508170910_DIR,SHORT,2025-08-17 09:10:00,-2.5,0.0,STOP_LOSS,-0.16
TRD_202508170913_DIR,SHORT,2025-08-17 09:13:00,-2.5,0.0,STOP_LOSS,-2.66
TRD_202508171002_DIR,SHORT,2025-08-17 10:02:00,1.06,0.0,TRAILING_WIN,-1.67
TRD_202508180231_DIR,LONG,2025-08-18 02:31:00,-2.5,0.0,STOP_LOSS,-3.52
TRD_202508180255_DIR,LONG,2025-08-18 02:55:00,2.61,0.0,TRAILING_WIN,-0.05
TRD_202508180900_DIR,SHORT,2025-08-18 09:00:00,3.55,0.0,TRAILING_WIN,-4.55
TRD_202508181400_DIR,LONG,2025-08-18 14:00:00,1.6,0.0,TRAILING_WIN,-4.5
TRD_202508190030_DIR,LONG,2025-08-19 00:30:00,-2.5,0.0,STOP_LOSS,-0.43
TRD_202508191045_DIR,SHORT,2025-08-19 10:45:00,0.88,0.0,TRAILING_WIN,-0.94
TRD_202508191047,SHORT,2025-08-19 10:47:00,0.73,17.0,TRAILING_WIN,-0.94
TRD_202508191424_DIR,LONG,2025-08-19 14:24:00,-2.5,0.0,STOP_LOSS,-2.59
TRD_202508191900_DIR,LONG,2025-08-19 19:00:00,2.31,0.0,TRAILING_WIN,-3.64
TRD_202508191910_DIR,LONG,2025-08-19 19:10:00,2.74,0.0,TRAILING_WIN,-2.49
TRD_202508192115_DIR,SHORT,2025-08-19 21:15:00,-2.5,0.0,STOP_LOSS,-3.46
TRD_202508200330_DIR,SHORT,2025-08-20 03:30:00,-2.5,0.0,STOP_LOSS,-3.15
TRD_202508201507_DIR,SHORT,2025-08-20 15:07:00,-2.5,0.0,STOP_LOSS,-2.43
TRD_202508210130_DIR,SHORT,2025-08-21 01:30:00,2.0,0.0,TRAILING_WIN,-3.79
TRD_202508210920_DIR,LONG,2025-08-21 09:20:00,1.3,0.0,TRAILING_WIN,-3.36
TRD_202508220804_DIR,SHORT,2025-08-22 08:04:00,2.71,0.0,TRAILING_WIN,-1.2
TRD_202508221405_DIR,SHORT,2025-08-22 14:05:00,-2.5,0.0,STOP_LOSS,-2.97
TRD_202508221413_DIR,SHORT,2025-08-22 14:13:00,0.76,0.0,TRAILING_WIN,-1.04
TRD_202508221433_DIR,SHORT,2025-08-22 14:33:00,-2.5,0.0,STOP_LOSS,-2.34
TRD_202508221725_DIR,SHORT,2025-08-22 17:25:00,-2.5,0.0,STOP_LOSS,-3.06
TRD_202508221844_DIR,SHORT,2025-08-22 18:44:00,-2.5,0.0,STOP_LOSS,-3.44
TRD_202508230047_DIR,SHORT,2025-08-23 00:47:00,0.95,0.0,TRAILING_WIN,-2.61
TRD_202508230831,LONG,2025-08-23 08:31:00,3.86,13.0,TRAILING_WIN,-0.97
TRD_202508231315_DIR,SHORT,2025-08-23 13:15:00,-2.5,0.0,STOP_LOSS,-2.55
TRD_202508231333_DIR,SHORT,2025-08-23 13:33:00,0.9,0.0,TRAILING_WIN,-1.49
TRD_202508231401,SHORT,2025-08-23 14:01:00,-2.5,3.0,STOP_LOSS,-3.06
TRD_202508231418_DIR,SHORT,2025-08-23 14:18:00,-2.5,0.0,STOP_LOSS,-2.63
TRD_202508231432_DIR,SHORT,2025-08-23 14:32:00,3.26,0.0,TRAILING_WIN,-1.47
TRD_202508240745_DIR,LONG,2025-08-24 07:45:00,0.82,0.0,TRAILING_WIN,-1.09
TRD_202508241015_DIR,LONG,2025-08-24 10:15:00,0.82,0.0,TRAILING_WIN,-0.94
TRD_202508241510_DIR,SHORT,2025-08-24 15:10:00,1.32,0.0,TRAILING_WIN,-2.71
TRD_202508241516,SHORT,2025-08-24 15:16:00,1.31,10.0,TRAILING_WIN,-2.71
TRD_202508250014_DIR,LONG,2025-08-25 00:14:00,1.92,0.0,TRAILING_WIN,-1.16
TRD_202508250400_DIR,LONG,2025-08-25 04:00:00,-2.5,0.0,STOP_LOSS,-2.66
TRD_202508250649_DIR,LONG,2025-08-25 06:49:00,3.19,0.0,TRAILING_WIN,-5.99
TRD_202508251419,LONG,2025-08-25 14:19:00,-2.5,49.0,STOP_LOSS,-11.93
TRD_202508252020_DIR,LONG,2025-08-25 20:20:00,7.57,0.0,TRAILING_WIN,-8.83
TRD_202508252340_DIR,LONG,2025-08-25 23:40:00,-2.5,0.0,STOP_LOSS,-8.1
TRD_202508252343_DIR,LONG,2025-08-25 23:43:00,19.58,0.0,TRAILING_WIN,-8.95
TRD_202508261235_DIR,SHORT,2025-08-26 12:35:00,1.05,0.0,TRAILING_WIN,-1.63
TRD_202508261945_DIR,SHORT,2025-08-26 19:45:00,0.96,0.0,TRAILING_WIN,-1.83
TRD_202508280445_DIR,SHORT,2025-08-28 04:45:00,8.68,0.0,TRAILING_WIN,-9.31
TRD_202508281900_DIR,LONG,2025-08-28 19:00:00,8.95,0.0,TRAILING_WIN,-1.14
TRD_202508290615_DIR,LONG,2025-08-29 06:15:00,-2.5,0.0,STOP_LOSS,-1.08
TRD_202508290645_DIR,LONG,2025-08-29 06:45:00,-2.5,0.0,STOP_LOSS,-9.92
