Fecha,Estrategia,Side,RSI,SAI_Score,SAI_Level,Accion
1970-01-01 00:29:04.469400,SCALPING_GAMMA,SHORT,85.03816793893142,55,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.470000,SCALPING_GAMMA,SHORT,79.93579454253609,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.505100,SCALPING_GAMMA,LONG,39.14473684210452,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.511700,SCALPING_GAMMA,LONG,22.222222222221973,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.519200,SCALPING_GAMMA,LONG,21.45214521452164,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.542900,SCALPING_GAMMA,LONG,22.55192878338248,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.553100,SCALPING_GAMMA,LONG,26.422018348623865,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.565400,SCALPING_GAMMA,SHORT,69.77329974811062,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.567200,SCALPING_GAMMA,SHORT,74.18439716312041,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.574100,SCALPING_GAMMA,LONG,13.4674922600623,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.580700,SCALPING_GAMMA,LONG,33.46774193548413,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.602600,SCALPING_GAMMA,LONG,26.02409638554276,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.611300,SCALPING_GAMMA,LONG,29.805013927577264,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.647600,SCALPING_GAMMA,LONG,28.142076502732465,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.683900,SCALPING_GAMMA,SHORT,62.46719160104999,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.689600,SCALPING_GAMMA,SHORT,71.86311787072282,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.704900,SCALPING_GAMMA,SHORT,75.5244755244758,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.743900,SCALPING_GAMMA,LONG,30.81761006289331,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.758600,SCALPING_GAMMA,LONG,36.390532544378445,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.769700,SCALPING_GAMMA,SHORT,35.76982892690502,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.777800,SCALPING_GAMMA,LONG,33.65695792880261,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.809900,SCALPING_GAMMA,LONG,26.912928759894243,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.821900,SCALPING_GAMMA,LONG,28.81040892193317,45,CAUTION,ENTRADA_REDUCIDA_CAUTION
