Timestamp,Timeframe,Signal_Type,Signal_Price,In_FVG,Max_Advance_Pct,Max_Drawdown_Pct,RSI_T0,RSI_T-1,RSI_T-2,RSI_T-3,RSI_T-4,VOLUME_T0,VOLUME_T-1,VOLUME_T-2,VOLUME_T-3,VOLUME_T-4,MACD_T0,MACD_T-1,MACD_T-2,MACD_T-3,MACD_T-4,ADX_T0,ADX_T-1,ADX_T-2,ADX_T-3,ADX_T-4,ATR_T0,ATR_T-1,ATR_T-2,ATR_T-3,ATR_T-4
2025-04-27,1d,SHORT,175.5647,False,11.47,39.62,74.1040056219255,70.83123425692695,73.15716272600834,76.53046172001768,65.86263806017516,167845.334,143654.91,216716.797,238796.662,248577.84,2.125593689196819,1.3783380611675398,-0.2359167667704866,-1.6361341396402054,-3.548176908071838,26.38795935439016,26.07768126157523,26.31552548044981,26.82830726670879,27.38053380575692,9.330714285714285,9.177142857142854,9.72285714285714,9.753571428571425,9.948571428571428
2025-05-08,1d,SHORT,196.7039,False,-2.91,43.79,72.82789811949539,53.97364217252398,68.05964653902801,74.77464379179996,73.25420070911056,337309.174,157627.163,172834.332,153785.302,102426.493,8.128363112510328,5.688233826623446,5.969112682431472,5.66042914664564,5.273703191564096,23.23284197315698,21.840601554079587,22.73032167119113,23.81486644610762,24.01139767390569,12.96428571428572,11.25214285714286,11.150000000000002,11.403571428571428,11.098571428571429
2025-05-09,1d,SHORT,203.6108,True,-2.56,38.91,75.58272394881172,72.82789811949539,53.97364217252398,68.05964653902801,74.77464379179996,283918.985,337309.174,157627.163,172834.332,153785.302,10.343183913561177,8.128363112510328,5.688233826623446,5.969112682431472,5.66042914664564,25.10598083751493,23.23284197315698,21.840601554079587,22.73032167119113,23.81486644610762,13.717857142857143,12.96428571428572,11.25214285714286,11.150000000000002,11.403571428571428
2025-05-10,1d,SHORT,213.9872,True,1.73,32.18,78.29795876916829,75.58272394881172,72.82789811949539,53.97364217252398,68.05964653902801,208941.792,283918.985,337309.174,157627.163,172834.332,13.34860552220718,10.343183913561177,8.128363112510328,5.688233826623446,5.969112682431472,27.22495883776279,25.10598083751493,23.23284197315698,21.840601554079587,22.73032167119113,14.629285714285716,13.717857142857143,12.96428571428572,11.25214285714286,11.150000000000002
2025-05-11,1d,SHORT,219.8209,True,4.34,28.67,77.35527239891644,78.29795876916829,75.58272394881172,72.82789811949539,53.97364217252398,139746.809,208941.792,283918.985,337309.174,157627.163,14.953666833571331,13.34860552220718,10.343183913561177,8.128363112510328,5.688233826623446,29.198629483454404,27.22495883776279,25.10598083751493,23.23284197315698,21.840601554079587,14.827142857142858,14.629285714285716,13.717857142857143,12.96428571428572,11.25214285714286
2025-05-12,1d,SHORT,225.9086,True,6.91,25.2,77.80443911217759,77.35527239891644,78.29795876916829,75.58272394881172,72.82789811949539,242807.236,139746.809,208941.792,283918.985,337309.174,16.09821724180742,14.953666833571331,13.34860552220718,10.343183913561177,8.128363112510328,30.774017379478803,29.198629483454404,27.22495883776279,25.10598083751493,23.23284197315698,15.152142857142858,14.827142857142858,14.629285714285716,13.717857142857143,12.96428571428572
2025-05-13,1d,SHORT,234.9326,True,9.77,20.39,81.06020712655786,77.80443911217759,77.35527239891644,78.29795876916829,75.58272394881172,179353.002,242807.236,139746.809,208941.792,283918.985,17.971375342370635,16.09821724180742,14.953666833571331,13.34860552220718,10.343183913561177,32.386782246627625,30.774017379478803,29.198629483454404,27.22495883776279,25.10598083751493,16.587857142857143,15.152142857142858,14.827142857142858,14.629285714285716,13.717857142857143
2025-05-20,1d,SHORT,267.0039,False,11.01,7.0,77.07973994958208,75.30731846769584,73.44554607639691,67.35111320903155,73.15430730064878,453430.281,292232.54,206116.908,118983.177,202070.584,20.804331123186984,19.25342677002573,18.18513173351772,18.149524152614475,18.853173761678164,38.43607064267672,37.29514352461324,36.90693501163423,35.94332929146025,35.3117902612231,22.04928571428572,21.46071428571429,19.56142857142857,18.30785714285714,18.25142857142857
2025-05-27,1d,SHORT,280.4978,False,15.29,16.01,66.47919010123736,69.48024238286251,70.72246620167056,64.29124709527501,67.54790770434104,170465.692,207351.898,222579.022,288994.852,338570.162,22.519173972379065,22.40520242211585,22.34620306273092,21.76666274493081,21.466861644830573,42.37026454145107,41.51913605345285,40.83648423051715,40.3529849971204,39.83229351500082,20.90428571428572,21.49214285714286,21.505,21.669285714285717,21.33428571428572
2025-05-30,1d,LONG_MID,246.0985,True,32.23,3.45,59.11995618039074,61.29645635263614,66.66040041357273,66.47919010123736,69.48024238286251,215505.527,205370.915,131408.883,170465.692,207351.898,18.13388265119997,19.84006591783429,21.826938873897237,22.519173972379065,22.40520242211585,40.44763596960932,42.03565583106168,42.8429345459044,42.37026454145107,41.51913605345285,20.807142857142857,21.32785714285714,20.832142857142856,20.90428571428572,21.49214285714286
2025-05-31,1d,LONG_MID,247.3955,False,31.53,3.96,61.91204588910136,59.11995618039074,61.29645635263614,66.66040041357273,66.47919010123736,167004.296,215505.527,205370.915,131408.883,170465.692,16.281757497555418,18.13388265119997,19.84006591783429,21.826938873897237,22.519173972379065,38.97304609826069,40.44763596960932,42.03565583106168,42.8429345459044,42.37026454145107,20.802857142857142,20.807142857142857,21.32785714285714,20.832142857142856,20.90428571428572
2025-06-01,1d,SHORT_MID,248.6085,False,8.72,30.89,57.326639472858496,61.91204588910136,59.11995618039074,61.29645635263614,66.66040041357273,139665.72,167004.296,215505.527,205370.915,131408.883,14.56853400113812,16.281757497555418,18.13388265119997,19.84006591783429,21.826938873897237,37.18373796375758,38.97304609826069,40.44763596960932,42.03565583106168,42.8429345459044,20.178571428571427,20.802857142857142,20.807142857142857,21.32785714285714,20.832142857142856
2025-06-02,1d,SHORT_MID,249.6785,False,14.69,30.33,55.48281505728316,57.326639472858496,61.91204588910136,59.11995618039074,61.29645635263614,148460.574,139665.72,167004.296,215505.527,205370.915,13.99197959225117,14.56853400113812,16.281757497555418,18.13388265119997,19.84006591783429,35.78032915035503,37.18373796375758,38.97304609826069,40.44763596960932,42.03565583106168,18.83571428571428,20.178571428571427,20.802857142857142,20.807142857142857,21.32785714285714
2025-06-05,1d,LONG_MID,254.0735,False,28.08,16.17,41.79428695557728,60.50664977834073,53.93474088291749,55.48281505728316,57.326639472858496,199094.629,199537.289,152350.519,148460.574,139665.72,11.617352525255797,13.784555170264724,14.068445743781352,13.99197959225117,14.56853400113812,33.002606832588214,35.17169110709965,35.381243628385775,35.78032915035503,37.18373796375758,19.020714285714284,18.064999999999998,18.46428571428571,18.83571428571428,20.178571428571427
