Date,Type,Side,PnL_Pct,Reason,Capital
2025-07-12 22:15:00,REV,SHORT,0.38,TP_MEAN,492.68
2025-07-13 04:15:00,REV,SHORT,0.23,TP_MEAN,493.82
2025-07-13 12:15:00,REV,LONG,0.59,TP_MEAN,496.75
2025-07-13 13:45:00,REV,SHORT,-0.8,SL_HIT,492.77
2025-07-14 03:00:00,REV,SHORT,-1.52,SL_HIT,485.27
2025-07-14 11:30:00,REV,SHORT,1.3,TP_MEAN,491.59
2025-07-14 15:45:00,REV,LONG,-1.24,SL_HIT,485.52
2025-07-14 19:00:00,REV,LONG,-1.35,TIME_STOP,478.97
2025-07-15 02:15:00,REV,LONG,-1.04,SL_HIT,473.97
2025-07-15 04:15:00,REV,LONG,1.56,TP_MEAN,481.36
2025-07-15 07:45:00,REV,SHORT,1.34,TP_MEAN,487.79
2025-07-16 08:00:00,REV,SHORT,0.28,TIME_STOP,489.13
2025-07-16 15:00:00,REV,SHORT,0.62,TP_MEAN,492.14
2025-07-16 17:00:00,REV,LONG,0.89,TP_MEAN,496.52
2025-07-17 00:30:00,REV,LONG,0.56,TP_MEAN,499.29
2025-07-17 08:30:00,REV,SHORT,0.77,TP_MEAN,503.14
2025-07-17 10:45:00,REV,SHORT,1.45,TP_MEAN,510.43
2025-07-17 21:00:00,REV,LONG,1.49,TP_MEAN,518.06
2025-07-18 02:45:00,REV,SHORT,1.52,TP_MEAN,525.93
2025-07-18 09:15:00,REV,LONG,1.56,TP_MEAN,534.13
2025-07-18 13:00:00,REV,SHORT,1.59,TP_MEAN,542.61
2025-07-18 15:15:00,REV,LONG,-1.54,SL_HIT,534.24
2025-07-18 21:00:00,REV,LONG,1.72,TP_MEAN,543.4
2025-07-19 00:45:00,REV,SHORT,1.47,TP_MEAN,551.4
2025-07-19 08:30:00,REV,LONG,-1.13,SL_HIT,545.17
2025-07-19 15:15:00,REV,LONG,0.63,TP_MEAN,548.6
2025-07-19 17:15:00,REV,SHORT,0.67,TP_MEAN,552.29
2025-07-20 05:30:00,REV,SHORT,0.55,TP_MEAN,555.34
2025-07-20 08:45:00,REV,SHORT,-0.96,SL_HIT,550.02
2025-07-20 15:45:00,REV,SHORT,-0.91,SL_HIT,545.0
2025-07-20 22:15:00,REV,LONG,-1.1,SL_HIT,539.01
2025-07-21 03:30:00,REV,SHORT,-1.23,SL_HIT,532.36
2025-07-21 13:30:00,REV,LONG,0.8,TP_MEAN,536.62
2025-07-22 00:30:00,REV,SHORT,0.59,TP_MEAN,539.8
2025-07-22 10:30:00,REV,LONG,0.93,TP_MEAN,544.84
2025-07-22 14:45:00,REV,LONG,1.22,TP_MEAN,551.48
2025-07-22 20:45:00,REV,LONG,1.08,TP_MEAN,557.42
2025-07-23 06:15:00,REV,LONG,-0.82,SL_HIT,552.83
2025-07-23 10:30:00,REV,LONG,1.12,TP_MEAN,559.02
2025-07-23 12:30:00,REV,LONG,-1.02,SL_HIT,553.31
2025-07-23 21:45:00,REV,LONG,1.38,TP_MEAN,560.94
2025-07-24 16:15:00,REV,SHORT,1.25,TP_MEAN,567.97
2025-07-24 23:00:00,REV,LONG,-0.75,SL_HIT,563.68
2025-07-25 09:30:00,REV,SHORT,-1.29,SL_HIT,556.43
2025-07-25 15:30:00,REV,LONG,-1.18,SL_HIT,549.86
2025-07-25 21:15:00,REV,SHORT,-0.74,SL_HIT,545.78
2025-07-26 02:30:00,REV,SHORT,-0.85,SL_HIT,541.16
2025-07-26 17:30:00,REV,LONG,-0.49,TIME_STOP,538.53
2025-07-26 22:00:00,REV,SHORT,-0.31,TIME_STOP,536.85
2025-07-27 01:00:00,REV,LONG,0.31,TP_MEAN,538.5
2025-07-27 06:30:00,REV,SHORT,0.53,TP_MEAN,541.34
2025-07-27 11:45:00,REV,SHORT,0.62,TP_MEAN,544.72
2025-07-27 16:30:00,REV,SHORT,-0.66,SL_HIT,541.15
2025-07-27 19:30:00,REV,SHORT,0.45,TP_MEAN,543.59
2025-07-27 23:00:00,REV,SHORT,0.73,TP_MEAN,547.57
2025-07-28 12:45:00,REV,LONG,-0.59,SL_HIT,544.33
2025-07-28 21:30:00,REV,LONG,0.5,TP_MEAN,547.07
2025-07-29 09:15:00,REV,SHORT,1.02,TP_MEAN,552.63
2025-07-29 12:30:00,REV,LONG,0.57,TP_MEAN,555.76
2025-07-29 17:15:00,REV,LONG,0.77,TP_MEAN,560.03
2025-07-30 01:30:00,REV,LONG,0.49,TP_MEAN,562.79
2025-07-30 04:30:00,REV,SHORT,0.33,TP_MEAN,564.66
2025-07-30 10:45:00,REV,LONG,-0.74,SL_HIT,560.46
2025-07-30 19:00:00,REV,LONG,-1.36,SL_HIT,552.82
2025-07-31 03:30:00,REV,SHORT,-0.6,TIME_STOP,549.5
2025-07-31 06:30:00,REV,LONG,0.28,TP_MEAN,551.05
2025-07-31 08:15:00,REV,LONG,0.26,TP_MEAN,552.5
2025-07-31 16:30:00,TREND,SHORT,1.64,TREND_BROKEN,561.55
2025-07-31 22:30:00,REV,LONG,-1.01,SL_HIT,555.9
2025-08-01 08:00:00,REV,LONG,-1.1,SL_HIT,549.77
2025-08-01 12:30:00,REV,SHORT,-1.0,SL_HIT,544.29
2025-08-02 06:15:00,REV,LONG,-0.52,SL_HIT,541.48
2025-08-02 16:30:00,REV,LONG,-0.93,SL_HIT,536.44
2025-08-02 17:45:00,REV,LONG,-1.21,SL_HIT,529.93
2025-08-03 03:00:00,REV,SHORT,-0.87,SL_HIT,525.34
2025-08-03 08:00:00,REV,SHORT,-0.5,SL_HIT,522.72
2025-08-03 17:15:00,REV,SHORT,0.38,TP_MEAN,524.72
2025-08-04 00:15:00,REV,SHORT,-0.5,SL_HIT,522.11
2025-08-04 07:00:00,REV,LONG,0.49,TP_MEAN,524.69
2025-08-04 11:15:00,REV,SHORT,0.32,TP_MEAN,526.34
2025-08-04 18:30:00,REV,SHORT,1.35,TP_MEAN,533.46
2025-08-05 03:00:00,REV,LONG,-0.94,SL_HIT,528.43
2025-08-05 09:30:00,REV,LONG,0.74,TP_MEAN,532.33
2025-08-05 14:30:00,REV,LONG,-1.41,SL_HIT,524.83
2025-08-06 00:45:00,REV,SHORT,0.3,TP_MEAN,526.42
2025-08-06 05:30:00,REV,SHORT,-0.96,SL_HIT,521.37
2025-08-06 13:30:00,REV,LONG,0.68,TP_MEAN,524.89
2025-08-06 15:00:00,REV,SHORT,-0.85,SL_HIT,520.4
2025-08-07 01:15:00,REV,SHORT,0.29,TP_MEAN,521.92
2025-08-07 09:00:00,REV,SHORT,-0.32,TIME_STOP,520.26
2025-08-07 12:15:00,REV,SHORT,-1.29,SL_HIT,513.56
2025-08-07 19:30:00,REV,SHORT,-0.96,SL_HIT,508.65
2025-08-08 06:45:00,REV,LONG,0.57,TP_MEAN,511.54
2025-08-08 09:15:00,REV,SHORT,1.01,TP_MEAN,516.72
2025-08-08 13:45:00,REV,SHORT,-0.62,SL_HIT,513.52
2025-08-08 18:15:00,REV,SHORT,-1.34,SL_HIT,506.63
2025-08-09 04:30:00,REV,SHORT,-0.61,SL_HIT,503.53
2025-08-09 14:30:00,REV,LONG,0.96,TP_MEAN,508.35
2025-08-09 22:30:00,REV,SHORT,0.9,TP_MEAN,512.9
2025-08-10 04:30:00,REV,LONG,0.63,TP_MEAN,516.14
2025-08-10 14:15:00,REV,LONG,0.85,TP_MEAN,520.53
2025-08-10 17:15:00,REV,SHORT,0.54,TP_MEAN,523.36
2025-08-11 00:00:00,REV,SHORT,0.38,TP_MEAN,525.33
2025-08-11 11:00:00,REV,LONG,-0.94,SL_HIT,520.4
2025-08-11 21:00:00,REV,LONG,0.58,TP_MEAN,523.4
2025-08-11 21:30:00,REV,LONG,-0.97,SL_HIT,518.33
2025-08-12 04:00:00,REV,SHORT,1.17,TP_MEAN,524.37
2025-08-12 11:00:00,REV,LONG,-0.77,SL_HIT,520.31
2025-08-13 05:30:00,REV,SHORT,0.98,TP_MEAN,525.4
2025-08-13 10:45:00,REV,SHORT,-0.92,SL_HIT,520.59
2025-08-13 16:00:00,REV,LONG,1.55,TP_MEAN,528.67
2025-08-14 06:00:00,REV,SHORT,0.46,TP_MEAN,531.1
2025-08-14 09:00:00,REV,LONG,-1.55,SL_HIT,522.86
2025-08-14 22:30:00,REV,LONG,0.87,TP_MEAN,527.41
2025-08-15 12:15:00,REV,LONG,0.59,TP_MEAN,530.54
2025-08-15 14:15:00,REV,LONG,-0.92,SL_HIT,525.66
2025-08-15 22:45:00,REV,SHORT,-0.65,SL_HIT,522.24
2025-08-16 02:45:00,REV,SHORT,0.32,TP_MEAN,523.9
2025-08-16 06:30:00,REV,LONG,-0.62,SL_HIT,520.67
2025-08-16 09:45:00,REV,LONG,-1.02,SL_HIT,515.37
2025-08-16 17:15:00,REV,SHORT,0.62,TP_MEAN,518.58
2025-08-16 22:00:00,REV,SHORT,0.38,TP_MEAN,520.53
2025-08-17 03:15:00,REV,SHORT,0.24,TP_MEAN,521.79
2025-08-17 04:00:00,REV,SHORT,-0.59,SL_HIT,518.7
2025-08-17 11:45:00,REV,SHORT,-0.89,TIME_STOP,514.08
2025-08-17 21:45:00,REV,LONG,-0.48,TIME_STOP,511.61
2025-08-18 02:00:00,REV,LONG,-1.1,SL_HIT,505.97
