Trade_ID,Side,Entry_Time,Exit_Time,PnL_Pct,Max_Drawdown,Exit_Reason,Pre_Entry_1_RSI_M5,Pre_Entry_1_BB_Pos_H1,Has_Severe_DD,DD_Depth,Pre_Crash_1_RSI_M5,Pre_Crash_2_RSI_M5,Pre_Crash_3_RSI_M5,Pre_Crash_4_RSI_M5,Pre_Crash_5_RSI_M5,Pre_Entry_2_RSI_M5,Pre_Entry_2_BB_Pos_H1,Pre_Entry_3_RSI_M5,Pre_Entry_3_BB_Pos_H1,Pre_Entry_4_RSI_M5,Pre_Entry_4_BB_Pos_H1,Pre_Entry_5_RSI_M5,Pre_Entry_5_BB_Pos_H1
TRD_202510312020_463535,SHORT,2025-10-31 20:20:00,2025-11-02 04:57:00,3.9,-1.53,TRAILING_WIN,87.54956383822359,1.13463934387334,True,-0.010323468685478345,80.74824629773968,80.74824629773968,80.74824629773968,78.33803953206936,78.33803953206936,87.26166328600401,1.13463934387334,87.26166328600401,1.13463934387334,87.26166328600401,1.13463934387334,87.26166328600401,1.13463934387334
TRD_202511020457_465492,SHORT,2025-11-02 04:57:00,2025-11-02 16:24:00,1.24,-3.69,TRAILING_WIN,78.55361596010047,0.7836779042630987,True,-0.036882998171846405,80.03613369467024,80.03613369467024,80.03613369467024,80.03613369467024,80.03613369467024,78.55361596010047,0.7836779042630987,78.55361596010047,0.7836779042630987,77.66233766233826,0.7836779042630987,77.66233766233826,0.7836779042630987
TRD_202511021624_466179,SHORT,2025-11-02 16:24:00,2025-11-02 16:25:00,-1.5,-1.53,TRAILING_LOSS,80.03613369467024,1.2318083857142208,True,-0.015339181028782957,83.64174685418206,80.03613369467024,80.03613369467024,80.03613369467024,80.03613369467024,80.03613369467024,1.2318083857142208,80.03613369467024,1.2318083857142208,80.03613369467024,1.2318083857142208,80.03613369467024,1.2318083857142208
TRD_202511021625_466180,SHORT,2025-11-02 16:25:00,2025-11-02 16:26:00,-1.28,-1.09,TRAILING_LOSS,83.64174685418206,1.2318083857142208,False,0.0,,,,,,80.03613369467024,1.2318083857142208,80.03613369467024,1.2318083857142208,80.03613369467024,1.2318083857142208,80.03613369467024,1.2318083857142208
TRD_202511021626_466181,SHORT,2025-11-02 16:26:00,2025-11-02 16:27:00,0.44,0.0,TRAILING_WIN,83.64174685418206,1.2318083857142208,False,0.0,,,,,,83.64174685418206,1.2318083857142208,80.03613369467024,1.2318083857142208,80.03613369467024,1.2318083857142208,80.03613369467024,1.2318083857142208
TRD_202511021627_466182,SHORT,2025-11-02 16:27:00,2025-11-02 16:34:00,-1.11,-1.73,TRAILING_LOSS,83.64174685418206,1.2318083857142208,True,-0.01645909430973027,87.72538141470174,87.72538141470174,87.72538141470174,87.72538141470174,87.72538141470174,83.64174685418206,1.2318083857142208,83.64174685418206,1.2318083857142208,80.03613369467024,1.2318083857142208,80.03613369467024,1.2318083857142208
TRD_202511021634_466189,SHORT,2025-11-02 16:34:00,2025-11-02 16:35:00,-2.0,-2.47,STOP_LOSS,87.72538141470174,1.2318083857142208,True,-0.024678529679179065,78.59947643979055,87.72538141470174,87.72538141470174,87.72538141470174,87.72538141470174,87.72538141470174,1.2318083857142208,87.72538141470174,1.2318083857142208,87.72538141470174,1.2318083857142208,87.72538141470174,1.2318083857142208
TRD_202511021635_466190,SHORT,2025-11-02 16:35:00,2025-11-02 16:36:00,0.76,-0.13,TRAILING_WIN,78.59947643979055,1.2318083857142208,False,0.0,,,,,,87.72538141470174,1.2318083857142208,87.72538141470174,1.2318083857142208,87.72538141470174,1.2318083857142208,87.72538141470174,1.2318083857142208
TRD_202511021636_466191,SHORT,2025-11-02 16:36:00,2025-11-02 23:10:00,1.93,-1.5,TRAILING_WIN,78.59947643979055,1.2318083857142208,True,-0.010160880609652843,68.45637583892625,68.45637583892625,68.45637583892625,58.17307692307667,58.17307692307667,78.59947643979055,1.2318083857142208,87.72538141470174,1.2318083857142208,87.72538141470174,1.2318083857142208,87.72538141470174,1.2318083857142208
TRD_202511022310_466585,SHORT,2025-11-02 23:10:00,2025-11-02 23:55:00,-1.5,-1.65,TRAILING_LOSS,63.281250000000014,1.0557882716483429,True,-0.0164576457645765,91.48936170212752,91.7419354838708,91.7419354838708,91.7419354838708,91.7419354838708,54.32258064516116,1.0557882716483429,54.32258064516116,1.0557882716483429,54.32258064516116,1.0557882716483429,54.32258064516116,1.0557882716483429
