Strategy,Side,PnL,Time,Reason
TREND,SHORT,0.53,2025-10-16 06:30:00,SL_TRAIL
SWING,SHORT,3.0,2025-10-16 09:30:00,TP_HIT
SWING,SHORT,3.0,2025-10-16 09:30:00,TP_HIT
SWING,SHORT,3.0,2025-10-16 09:30:00,TP_HIT
TREND,SHORT,-0.3,2025-10-16 09:45:00,SL_TRAIL
TREND,SHORT,-0.48,2025-10-16 14:30:00,SL_TRAIL
SWING,SHORT,3.0,2025-10-16 15:45:00,TP_HIT
SWING,SHORT,3.0,2025-10-16 15:45:00,TP_HIT
SWING,SHORT,3.0,2025-10-16 15:45:00,TP_HIT
TREND,SHORT,6.26,2025-10-17 00:45:00,SL_TRAIL
TREND,SHORT,7.57,2025-10-17 09:30:00,SL_TRAIL
TREND,SHORT,-1.31,2025-10-17 11:00:00,SL_TRAIL
SWING,SHORT,3.0,2025-10-17 14:00:00,TP_HIT
SWING,SHORT,3.0,2025-10-17 14:00:00,TP_HIT
SWING,SHORT,3.0,2025-10-17 14:00:00,TP_HIT
TREND,SHORT,1.57,2025-10-17 16:00:00,SL_TRAIL
TREND,SHORT,-0.06,2025-10-17 20:30:00,SL_TRAIL
TREND,SHORT,-0.97,2025-10-18 01:15:00,SL_TRAIL
SWING,SHORT,-2.0,2025-10-18 03:30:00,SL_HIT
SWING,SHORT,-2.0,2025-10-18 03:30:00,SL_HIT
TREND,SHORT,-1.02,2025-10-18 07:00:00,SL_TRAIL
SWING,SHORT,-2.0,2025-10-18 07:00:00,SL_HIT
TREND,SHORT,-0.61,2025-10-18 14:30:00,SL_TRAIL
TREND,SHORT,-1.11,2025-10-18 17:15:00,SL_TRAIL
SWING,SHORT,-2.0,2025-10-18 19:30:00,SL_HIT
SWING,SHORT,-2.0,2025-10-18 19:30:00,SL_HIT
SWING,SHORT,-2.0,2025-10-18 19:30:00,SL_HIT
TREND,SHORT,-0.84,2025-10-19 03:15:00,SL_TRAIL
TREND,SHORT,-0.61,2025-10-19 09:30:00,SL_TRAIL
SWING,SHORT,-2.0,2025-10-19 10:15:00,SL_HIT
SWING,SHORT,-2.0,2025-10-19 10:45:00,SL_HIT
SWING,SHORT,-2.0,2025-10-19 11:00:00,SL_HIT
SWING,SHORT,-2.0,2025-10-19 13:45:00,SL_HIT
SWING,SHORT,-2.0,2025-10-19 13:45:00,SL_HIT
SWING,SHORT,-2.0,2025-10-19 13:45:00,SL_HIT
TREND,LONG,1.07,2025-10-19 16:30:00,SL_TRAIL
TREND,LONG,-0.23,2025-10-19 23:00:00,SL_TRAIL
TREND,LONG,-0.67,2025-10-19 23:45:00,SL_TRAIL
SWING,LONG,-2.0,2025-10-20 00:15:00,SL_HIT
SWING,LONG,-2.0,2025-10-20 00:15:00,SL_HIT
SWING,LONG,-2.0,2025-10-20 00:30:00,SL_HIT
SWING,LONG,3.0,2025-10-20 03:45:00,TP_HIT
SWING,LONG,3.0,2025-10-20 03:45:00,TP_HIT
SWING,LONG,3.0,2025-10-20 03:45:00,TP_HIT
TREND,LONG,3.38,2025-10-20 10:45:00,SL_TRAIL
TREND,LONG,-1.11,2025-10-20 14:15:00,SL_TRAIL
TREND,LONG,-1.01,2025-10-20 15:45:00,SL_TRAIL
SWING,LONG,-2.0,2025-10-20 16:00:00,SL_HIT
SWING,LONG,-2.0,2025-10-20 16:00:00,SL_HIT
SWING,LONG,-2.0,2025-10-20 16:00:00,SL_HIT
TREND,LONG,-0.29,2025-10-20 21:30:00,SL_TRAIL
TREND,LONG,-0.9,2025-10-21 01:00:00,SL_TRAIL
SWING,LONG,-2.0,2025-10-21 04:00:00,SL_HIT
SWING,LONG,-2.0,2025-10-21 04:00:00,SL_HIT
