Trade_ID,Strategy,Mode,Side,Entry_Time,Entry_Price,status,Is_Risk_Free,Peak_Price,Rem_Qty,TP1_Hit,TP2_Hit,SL,Fibo_Target,Exit_Price,Exit_Time,Exit_Reason,PnL_Pct
G_041400,GAMMA,GAMMA_HEDGE,LONG,2025-01-04 14:00:00,357.9,CLOSED,False,357.9,1.0,False,False,352.5315,374.0054999999999,347.21,2025-01-04 15:30:00,SL_HIT,-0.029868678401788206
G_041415,GAMMA,GAMMA_HEDGE,LONG,2025-01-04 14:15:00,356.49,CLOSED,False,356.49,1.0,False,False,351.14265,372.53204999999997,347.21,2025-01-04 15:30:00,SL_HIT,-0.026031585738730482
G_050230,GAMMA,GAMMA_HEDGE,SHORT,2025-01-05 02:30:00,345.86,CLOSED,False,345.86,1.0,False,False,351.04789999999997,330.2963,351.14,2025-01-05 04:30:00,SL_HIT,-0.015266292719597445
G_050815,GAMMA,GAMMA_HEDGE,SHORT,2025-01-05 08:15:00,344.51,CLOSED,True,339.83,1.0,False,False,341.55255,329.00705,342.42,2025-01-05 22:15:00,SL_HIT,0.006066587326928028
G_062315,GAMMA,GAMMA_HEDGE,SHORT,2025-01-06 23:15:00,339.38,CLOSED,True,333.26,1.0,False,False,334.9569,324.1079,335.46,2025-01-07 11:15:00,SL_HIT,0.011550474394484107
G_062330,GAMMA,GAMMA_HEDGE,SHORT,2025-01-06 23:30:00,340.36,CLOSED,True,333.26,1.0,False,False,334.9618,325.0438,335.46,2025-01-07 11:15:00,SL_HIT,0.014396521330356193
S_311100,SWING,SWING_NORMAL,LONG,2024-12-31 11:00:00,312.46,CLOSED,True,359.32,0.39999999999999997,True,True,331.2076,349.9552,330.94,2025-01-07 12:15:00,SL_HIT,0.05914357037700832
S_010300,SWING,SWING_NORMAL,LONG,2025-01-01 03:00:00,312.33,CLOSED,True,359.32,0.39999999999999997,True,True,331.0698,349.8096,330.94,2025-01-07 12:15:00,SL_HIT,0.05958441392117317
G_071545,GAMMA,GAMMA_HEDGE,SHORT,2025-01-07 15:45:00,315.92,CLOSED,True,309.2,1.0,False,False,310.7796,301.7036,311.0,2025-01-07 19:00:00,SL_HIT,0.015573562927323422
G_080700,GAMMA,GAMMA_HEDGE,SHORT,2025-01-08 07:00:00,295.18,CLOSED,False,294.68,1.0,False,False,299.60769999999997,281.8969,300.25,2025-01-08 08:00:00,SL_HIT,-0.01717596043092348
G_081730,GAMMA,GAMMA_HEDGE,SHORT,2025-01-08 17:30:00,280.75,CLOSED,False,280.75,1.0,False,False,284.96124999999995,268.11625,285.09,2025-01-08 17:45:00,SL_HIT,-0.0154585930543187
