Date,Side,PnL_Pct,Reason,Capital
2025-05-04 19:15:00,SHORT,-0.79,TREND_BROKEN,911.97
2025-05-07 10:30:00,SHORT,-0.85,SL_HIT,904.19
2025-05-09 09:15:00,LONG,-0.46,TREND_BROKEN,900.01
2025-05-12 01:15:00,LONG,-1.11,TREND_BROKEN,890.02
2025-05-13 04:45:00,SHORT,-0.07,TREND_BROKEN,889.41
2025-05-14 05:30:00,SHORT,-1.01,TREND_BROKEN,880.46
2025-05-15 01:15:00,LONG,-0.8,SL_HIT,873.41
2025-05-15 08:30:00,SHORT,-2.11,TREND_BROKEN,854.94
2025-05-15 18:30:00,LONG,-2.17,SL_HIT,836.36
2025-05-16 12:15:00,LONG,4.37,TREND_BROKEN,872.95
2025-05-18 09:30:00,LONG,0.03,TREND_BROKEN,873.2
2025-05-20 21:30:00,SHORT,-0.04,TREND_BROKEN,872.85
2025-05-21 22:00:00,SHORT,0.74,TREND_BROKEN,879.29
2025-05-21 23:45:00,LONG,-1.86,TREND_BROKEN,862.96
2025-05-22 16:30:00,LONG,-1.2,SL_HIT,852.62
2025-05-23 04:30:00,LONG,-0.72,TREND_BROKEN,846.5
2025-05-25 17:45:00,SHORT,-1.05,TREND_BROKEN,837.61
2025-05-30 12:30:00,SHORT,-1.1,TREND_BROKEN,828.37
2025-05-30 14:30:00,SHORT,-1.22,SL_HIT,818.25
2025-05-31 13:00:00,SHORT,-1.62,TREND_BROKEN,804.96
2025-05-31 15:00:00,LONG,-1.07,SL_HIT,796.31
2025-06-06 17:00:00,LONG,-0.59,TREND_BROKEN,791.61
2025-06-07 21:00:00,LONG,-0.81,SL_HIT,785.16
2025-06-11 16:00:00,LONG,-0.26,TREND_BROKEN,783.14
2025-06-12 19:00:00,LONG,1.12,TREND_BROKEN,791.88
2025-06-15 10:00:00,SHORT,-0.37,TREND_BROKEN,788.98
2025-06-16 14:30:00,LONG,-1.63,SL_HIT,776.09
2025-06-22 20:45:00,SHORT,2.08,TREND_BROKEN,792.2
2025-06-25 13:00:00,SHORT,0.0,TREND_BROKEN,792.21
2025-06-26 01:15:00,SHORT,-0.71,TREND_BROKEN,786.61
2025-06-27 17:30:00,LONG,-1.45,TREND_BROKEN,775.17
2025-06-29 20:15:00,LONG,-0.76,TREND_BROKEN,769.29
2025-06-30 02:15:00,LONG,-0.44,TREND_BROKEN,765.89
2025-06-30 21:45:00,LONG,-1.28,TREND_BROKEN,756.08
2025-07-02 12:00:00,LONG,0.02,TREND_BROKEN,756.23
2025-07-02 19:30:00,LONG,3.56,TREND_BROKEN,783.13
2025-07-03 13:30:00,SHORT,-2.26,TREND_BROKEN,765.4
2025-07-04 01:30:00,LONG,-0.69,TREND_BROKEN,760.09
2025-07-05 09:15:00,LONG,-0.78,TREND_BROKEN,754.15
2025-07-07 14:30:00,LONG,-0.56,SL_HIT,749.9
2025-07-07 22:30:00,SHORT,1.38,TREND_BROKEN,760.29
2025-07-08 20:45:00,LONG,-0.75,TREND_BROKEN,754.57
2025-07-09 20:15:00,LONG,-1.57,TREND_BROKEN,742.7
2025-07-10 13:00:00,SHORT,-0.47,TREND_BROKEN,739.24
2025-07-10 23:45:00,LONG,3.83,TREND_BROKEN,767.53
2025-07-13 04:15:00,LONG,-0.65,TREND_BROKEN,762.55
2025-07-13 10:15:00,LONG,-0.46,TREND_BROKEN,759.03
2025-07-13 16:45:00,LONG,0.93,TREND_BROKEN,766.07
2025-07-15 04:15:00,SHORT,0.01,TREND_BROKEN,766.18
2025-07-16 17:15:00,SHORT,-0.96,SL_HIT,758.85
2025-07-17 05:00:00,SHORT,1.63,TREND_BROKEN,771.25
2025-07-17 18:15:00,SHORT,-1.12,TREND_BROKEN,762.63
2025-07-17 21:00:00,SHORT,-2.7,TREND_BROKEN,742.07
2025-07-18 17:45:00,SHORT,0.28,TREND_BROKEN,744.17
2025-07-19 17:15:00,LONG,-0.91,SL_HIT,737.42
2025-07-20 17:30:00,LONG,-1.24,TREND_BROKEN,728.25
2025-07-21 07:45:00,LONG,0.51,TREND_BROKEN,731.95
2025-07-21 13:30:00,SHORT,-0.88,SL_HIT,725.51
2025-07-22 01:30:00,SHORT,-0.98,SL_HIT,718.39
2025-07-22 07:15:00,SHORT,0.42,TREND_BROKEN,721.42
2025-07-23 01:00:00,LONG,-1.0,TREND_BROKEN,714.22
2025-07-24 16:15:00,LONG,-1.58,TREND_BROKEN,702.94
2025-07-27 01:00:00,SHORT,-0.92,TREND_BROKEN,696.47
2025-07-27 23:00:00,LONG,-0.81,SL_HIT,690.86
2025-07-30 04:30:00,LONG,-0.59,TREND_BROKEN,686.79
2025-07-31 08:15:00,SHORT,-0.45,SL_HIT,683.69
2025-07-31 16:30:00,SHORT,1.64,TREND_BROKEN,694.89
2025-08-01 23:30:00,SHORT,-1.3,TREND_BROKEN,685.83
2025-08-03 06:00:00,LONG,0.16,TREND_BROKEN,686.91
2025-08-03 17:15:00,LONG,-0.5,SL_HIT,683.49
2025-08-09 13:00:00,LONG,2.38,TREND_BROKEN,699.76
2025-08-09 14:30:00,SHORT,-1.05,TREND_BROKEN,692.4
2025-08-10 04:30:00,SHORT,-0.96,TREND_BROKEN,685.77
2025-08-10 09:30:00,SHORT,-1.0,TREND_BROKEN,678.91
2025-08-10 14:15:00,SHORT,-1.72,TREND_BROKEN,667.23
2025-08-10 17:15:00,LONG,-0.57,TREND_BROKEN,663.4
2025-08-11 05:15:00,LONG,0.59,TREND_BROKEN,667.33
2025-08-15 12:15:00,SHORT,-0.76,SL_HIT,662.27
2025-08-16 22:00:00,LONG,-0.08,TREND_BROKEN,661.77
2025-08-17 03:15:00,LONG,-0.41,TREND_BROKEN,659.03
2025-08-17 12:30:00,LONG,2.93,TREND_BROKEN,678.32
2025-08-18 20:30:00,LONG,-1.26,TREND_BROKEN,669.76
2025-08-19 00:45:00,SHORT,-1.69,TREND_BROKEN,658.41
2025-08-21 03:45:00,LONG,-0.98,TREND_BROKEN,651.97
2025-08-21 14:30:00,LONG,-0.92,TREND_BROKEN,645.95
2025-08-21 18:45:00,SHORT,-2.24,TREND_BROKEN,631.47
2025-08-22 03:30:00,LONG,-1.24,TREND_BROKEN,623.62
2025-08-23 09:30:00,SHORT,-1.1,SL_HIT,616.76
2025-08-24 08:30:00,LONG,-0.97,TREND_BROKEN,610.76
2025-08-24 13:30:00,SHORT,-0.53,TREND_BROKEN,607.52
2025-08-25 14:00:00,SHORT,4.45,TREND_BROKEN,634.53
2025-08-25 23:15:00,SHORT,2.39,TREND_BROKEN,649.69
2025-08-27 14:30:00,SHORT,-0.79,SL_HIT,644.56
2025-08-28 16:15:00,SHORT,1.58,TREND_BROKEN,654.73
2025-08-30 14:45:00,SHORT,-0.71,TREND_BROKEN,650.11
2025-08-31 13:30:00,LONG,-0.53,TREND_BROKEN,646.7
2025-09-01 23:45:00,SHORT,-0.97,TREND_BROKEN,640.43
2025-09-04 09:30:00,SHORT,1.56,TREND_BROKEN,650.42
2025-09-05 08:15:00,LONG,-0.45,TREND_BROKEN,647.52
2025-09-05 14:00:00,LONG,-1.15,TREND_BROKEN,640.07
2025-09-10 01:30:00,SHORT,-0.52,TREND_BROKEN,636.74
2025-09-10 03:15:00,LONG,-1.09,TREND_BROKEN,629.82
2025-09-11 13:45:00,SHORT,-0.83,SL_HIT,624.61
2025-09-15 14:15:00,SHORT,1.67,TREND_BROKEN,635.02
2025-09-15 17:45:00,SHORT,-0.54,TREND_BROKEN,631.62
2025-09-17 06:15:00,SHORT,-0.12,TREND_BROKEN,630.89
2025-09-17 16:45:00,SHORT,-0.52,TREND_BROKEN,627.58
2025-09-18 05:15:00,LONG,3.39,TREND_BROKEN,648.85
2025-09-18 19:15:00,LONG,0.15,TREND_BROKEN,649.82
2025-09-19 20:30:00,SHORT,0.77,TREND_BROKEN,654.85
2025-09-21 17:45:00,SHORT,-1.0,TREND_BROKEN,648.33
2025-09-23 00:30:00,LONG,-0.67,TREND_BROKEN,644.0
2025-09-23 03:30:00,SHORT,-0.87,TREND_BROKEN,638.37
2025-09-24 05:30:00,SHORT,-0.67,TREND_BROKEN,634.09
2025-09-25 08:15:00,SHORT,2.75,TREND_BROKEN,651.54
2025-09-25 18:45:00,SHORT,-1.58,TREND_BROKEN,641.25
2025-09-26 12:30:00,SHORT,-1.59,TREND_BROKEN,631.07
2025-09-27 04:00:00,LONG,-0.55,TREND_BROKEN,627.57
2025-09-27 06:45:00,SHORT,-0.38,TREND_BROKEN,625.17
2025-09-27 15:45:00,SHORT,-0.53,SL_HIT,621.84
2025-10-01 23:15:00,SHORT,-0.39,TREND_BROKEN,619.39
2025-10-02 15:45:00,SHORT,0.66,TREND_BROKEN,623.45
2025-10-02 21:30:00,LONG,1.09,TREND_BROKEN,630.21
2025-10-05 02:30:00,SHORT,-0.89,TREND_BROKEN,624.59
2025-10-06 04:45:00,LONG,-0.39,TREND_BROKEN,622.15
2025-10-07 04:45:00,SHORT,0.25,TREND_BROKEN,623.73
2025-10-07 20:00:00,SHORT,3.34,TREND_BROKEN,644.54
2025-10-08 16:45:00,SHORT,-1.18,TREND_BROKEN,636.93
2025-10-09 00:00:00,LONG,0.17,TREND_BROKEN,638.04
2025-10-09 17:45:00,SHORT,0.03,TREND_BROKEN,638.2
2025-10-13 11:00:00,LONG,0.17,TREND_BROKEN,639.28
2025-10-16 13:45:00,LONG,-0.53,TREND_BROKEN,635.9
2025-10-17 16:00:00,SHORT,-1.88,TREND_BROKEN,623.95
2025-10-21 07:45:00,SHORT,2.52,TREND_BROKEN,639.66
2025-10-22 16:45:00,LONG,0.71,TREND_BROKEN,644.18
2025-10-24 18:00:00,SHORT,-0.09,TREND_BROKEN,643.59
2025-10-25 12:00:00,SHORT,-0.67,TREND_BROKEN,639.29
2025-10-27 15:00:00,SHORT,0.95,TREND_BROKEN,645.36
2025-10-27 19:30:00,LONG,-0.38,TREND_BROKEN,642.93
2025-10-29 22:30:00,LONG,-1.24,TREND_BROKEN,634.99
2025-10-31 12:45:00,LONG,-0.75,TREND_BROKEN,630.22
2025-10-31 15:30:00,LONG,-0.95,SL_HIT,624.22
2025-11-01 21:15:00,LONG,-0.47,SL_HIT,621.27
2025-11-02 08:30:00,LONG,0.19,TREND_BROKEN,622.44
2025-11-04 04:45:00,LONG,-0.34,TREND_BROKEN,620.31
2025-11-04 16:15:00,LONG,-0.48,SL_HIT,617.36
2025-11-04 22:00:00,SHORT,0.99,TREND_BROKEN,623.51
2025-11-06 05:00:00,LONG,-1.52,TREND_BROKEN,614.06
2025-11-06 17:45:00,SHORT,-1.22,TREND_BROKEN,606.59
2025-11-07 04:00:00,LONG,-1.32,TREND_BROKEN,598.6
2025-11-08 16:30:00,SHORT,-0.92,SL_HIT,593.08
2025-11-09 23:15:00,LONG,-0.97,TREND_BROKEN,587.32
2025-11-10 12:45:00,LONG,0.01,TREND_BROKEN,587.37
2025-11-11 14:45:00,SHORT,-1.2,TREND_BROKEN,580.35
2025-11-12 08:15:00,SHORT,-1.54,TREND_BROKEN,571.4
2025-11-13 03:00:00,LONG,-1.18,TREND_BROKEN,564.68
2025-11-16 19:00:00,SHORT,2.28,TREND_BROKEN,577.58
2025-11-19 07:30:00,SHORT,-0.1,TREND_BROKEN,577.01
2025-11-20 09:15:00,LONG,-0.9,TREND_BROKEN,571.84
2025-11-20 20:15:00,SHORT,5.87,TREND_BROKEN,605.43
2025-11-21 12:45:00,SHORT,4.52,TREND_BROKEN,632.81
2025-11-23 06:30:00,LONG,1.2,TREND_BROKEN,640.39
2025-11-25 15:45:00,SHORT,-1.54,SL_HIT,630.5
2025-11-28 19:00:00,SHORT,-1.23,TREND_BROKEN,622.72
2025-11-29 13:15:00,SHORT,-0.4,TREND_BROKEN,620.19
2025-11-29 19:45:00,SHORT,-0.59,TREND_BROKEN,616.56
