2025-12-19 21:15:52,713 | ERROR | [API_MANAGER] ❌ CRITICO: Error configurando cuenta: (401, -2015, 'Invalid API-key, IP, or permissions for action', {'Content-Type': 'application/json', 'Content-Length': '69', 'Connection': 'keep-alive', 'Date': 'Sat, 20 Dec 2025 01:15:51 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '3', 'x-response-time': '2ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 34b916450d1b858ffbdb3f9079627ef0.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'GIG52-P2', 'X-Amz-Cf-Id': '3d9Amvi_BNjaQHH7Q9xn8EnbzTaKERSOoIHcsCJIM9es8IniBmhpDw=='})
2025-12-19 21:15:52,715 | ERROR | [API_MANAGER] ❌ CRITICO: Fallo crítico de conexión: (401, -2015, 'Invalid API-key, IP, or permissions for action', {'Content-Type': 'application/json', 'Content-Length': '69', 'Connection': 'keep-alive', 'Date': 'Sat, 20 Dec 2025 01:15:51 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '3', 'x-response-time': '2ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 34b916450d1b858ffbdb3f9079627ef0.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'GIG52-P2', 'X-Amz-Cf-Id': '3d9Amvi_BNjaQHH7Q9xn8EnbzTaKERSOoIHcsCJIM9es8IniBmhpDw=='})
2025-12-19 21:15:52,717 | ERROR | [MAIN] ❌ CRITICO: Fallo en arranque: (401, -2015, 'Invalid API-key, IP, or permissions for action', {'Content-Type': 'application/json', 'Content-Length': '69', 'Connection': 'keep-alive', 'Date': 'Sat, 20 Dec 2025 01:15:51 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '3', 'x-response-time': '2ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 34b916450d1b858ffbdb3f9079627ef0.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'GIG52-P2', 'X-Amz-Cf-Id': '3d9Amvi_BNjaQHH7Q9xn8EnbzTaKERSOoIHcsCJIM9es8IniBmhpDw=='})
2025-12-19 21:45:34,204 | INFO | [MAIN] --- INICIANDO SECUENCIA DE ARRANQUE ---
2025-12-19 21:45:34,204 | INFO | [API_MANAGER] 📡 Conectando con Binance Futures (REAL)...
2025-12-19 21:45:37,029 | INFO | [API_MANAGER] ✅ Conexión Establecida y Cuenta Validada (HEDGE/ISOLATED).
2025-12-19 21:45:37,481 | INFO | [API_MANAGER] 📡 Conectando con Binance Futures (REAL)...
2025-12-19 21:45:39,824 | INFO | [API_MANAGER] ✅ Conexión Establecida y Cuenta Validada (HEDGE/ISOLATED).
2025-12-19 21:45:41,049 | INFO | [FVG_SCANNER] 🗺️ Mapas actualizados. 97 zonas nuevas detectadas.
2025-12-19 21:45:41,058 | INFO | [TELEGRAM] 🚀 Servicio de mensajería iniciado en segundo plano.
